cone_x_microns,cone_y_microns,cone_spectral_type,subject_id,age,eye,meridian,eccentricity_deg,eccentricity_mm,ret_mag_factor,fov,lm_ratio,scones,lcone_density,mcone_density,scone_density,numcones,nonclass_cones,cone_origin,zernike_pupil_diam,zernike_measure_wave,zernike_optim_wave
48.1,86.8,L,,,,,,,,,,,,,,,,,,,
48.1,91.5,M,,,,,,,,,,,,,,,,,,,
48.1,100,L,,,,,,,,,,,,,,,,,,,
48.1,105.4,L,,,,,,,,,,,,,,,,,,,
48.1,111.5,L,,,,,,,,,,,,,,,,,,,
48.1,113.9,L,,,,,,,,,,,,,,,,,,,
48.1,119.5,L,,,,,,,,,,,,,,,,,,,
48.1,127.3,M,,,,,,,,,,,,,,,,,,,
48.1,136.4,L,,,,,,,,,,,,,,,,,,,
48.1,158.9,L,,,,,,,,,,,,,,,,,,,
48.2,38.4,L,,,,,,,,,,,,,,,,,,,
48.8,20.9,L,,,,,,,,,,,,,,,,,,,
48.8,29.5,L,,,,,,,,,,,,,,,,,,,
48.8,32.6,L,,,,,,,,,,,,,,,,,,,
48.8,45,L,,,,,,,,,,,,,,,,,,,
48.8,48.1,M,,,,,,,,,,,,,,,,,,,
48.8,53.5,L,,,,,,,,,,,,,,,,,,,
48.8,57.4,L,,,,,,,,,,,,,,,,,,,
48.8,60.5,L,,,,,,,,,,,,,,,,,,,
48.8,63.6,L,,,,,,,,,,,,,,,,,,,
48.8,97.7,L,,,,,,,,,,,,,,,,,,,
48.8,121.7,L,,,,,,,,,,,,,,,,,,,
48.8,130.2,L,,,,,,,,,,,,,,,,,,,
48.8,145.7,L,,,,,,,,,,,,,,,,,,,
48.8,150.4,M,,,,,,,,,,,,,,,,,,,
48.8,162.8,L,,,,,,,,,,,,,,,,,,,
48.8,165.9,L,,,,,,,,,,,,,,,,,,,
48.8,170.5,L,,,,,,,,,,,,,,,,,,,
48.8,173.6,L,,,,,,,,,,,,,,,,,,,
48.8,177.5,L,,,,,,,,,,,,,,,,,,,
48.8,181.4,M,,,,,,,,,,,,,,,,,,,
48.8,192.2,L,,,,,,,,,,,,,,,,,,,
49.6,5.4,M,,,,,,,,,,,,,,,,,,,
49.6,11.6,M,,,,,,,,,,,,,,,,,,,
49.6,71.3,L,,,,,,,,,,,,,,,,,,,
49.6,79.8,L,,,,,,,,,,,,,,,,,,,
49.6,103.1,L,,,,,,,,,,,,,,,,,,,
49.6,109.3,M,,,,,,,,,,,,,,,,,,,
49.6,139.5,M,,,,,,,,,,,,,,,,,,,
49.9,186,L,,,,,,,,,,,,,,,,,,,
50.2,35,M,,,,,,,,,,,,,,,,,,,
50.2,124.9,L,,,,,,,,,,,,,,,,,,,
50.4,17.1,M,,,,,,,,,,,,,,,,,,,
50.4,65.9,M,,,,,,,,,,,,,,,,,,,
50.4,117.2,L,,,,,,,,,,,,,,,,,,,
51,41.9,L,,,,,,,,,,,,,,,,,,,
51,142.6,M,,,,,,,,,,,,,,,,,,,
51.2,38.8,L,,,,,,,,,,,,,,,,,,,
51.2,68.2,L,,,,,,,,,,,,,,,,,,,
51.2,82.9,L,,,,,,,,,,,,,,,,,,,
51.2,86,M,,,,,,,,,,,,,,,,,,,
51.2,89.9,L,,,,,,,,,,,,,,,,,,,
51.2,93,L,,,,,,,,,,,,,,,,,,,
51.2,106.2,M,,,,,,,,,,,,,,,,,,,
51.2,127.9,M,,,,,,,,,,,,,,,,,,,
51.2,136.4,L,,,,,,,,,,,,,,,,,,,
51.2,153.5,L,,,,,,,,,,,,,,,,,,,
51.2,156.6,M,,,,,,,,,,,,,,,,,,,
51.2,162,M,,,,,,,,,,,,,,,,,,,
51.2,168.2,M,,,,,,,,,,,,,,,,,,,
51.6,159.2,M,,,,,,,,,,,,,,,,,,,
51.6,179.3,L,,,,,,,,,,,,,,,,,,,
51.8,26.2,M,,,,,,,,,,,,,,,,,,,
51.8,165.4,M,,,,,,,,,,,,,,,,,,,
51.9,1.6,M,,,,,,,,,,,,,,,,,,,
51.9,7.8,L,,,,,,,,,,,,,,,,,,,
51.9,20.2,L,,,,,,,,,,,,,,,,,,,
51.9,23.3,M,,,,,,,,,,,,,,,,,,,
51.9,30.2,L,,,,,,,,,,,,,,,,,,,
51.9,45.7,M,,,,,,,,,,,,,,,,,,,
51.9,48.8,L,,,,,,,,,,,,,,,,,,,
51.9,51.9,L,,,,,,,,,,,,,,,,,,,
51.9,55,M,,,,,,,,,,,,,,,,,,,
51.9,58.9,L,,,,,,,,,,,,,,,,,,,
51.9,76.7,M,,,,,,,,,,,,,,,,,,,
51.9,100.1,M,,,,,,,,,,,,,,,,,,,
51.9,108.5,L,,,,,,,,,,,,,,,,,,,
51.9,114.7,L,,,,,,,,,,,,,,,,,,,
51.9,122.5,M,,,,,,,,,,,,,,,,,,,
51.9,148,M,,,,,,,,,,,,,,,,,,,
51.9,172.8,M,,,,,,,,,,,,,,,,,,,
51.9,175.9,L,,,,,,,,,,,,,,,,,,,
51.9,183.7,M,,,,,,,,,,,,,,,,,,,
52.5,62.5,L,,,,,,,,,,,,,,,,,,,
52.7,14,M,,,,,,,,,,,,,,,,,,,
52.7,71.3,L,,,,,,,,,,,,,,,,,,,
52.7,103.1,L,,,,,,,,,,,,,,,,,,,
52.7,150.4,L,,,,,,,,,,,,,,,,,,,
53.2,117.5,L,,,,,,,,,,,,,,,,,,,
53.3,34.6,L,,,,,,,,,,,,,,,,,,,
53.3,124.6,L,,,,,,,,,,,,,,,,,,,
53.5,4.7,L,,,,,,,,,,,,,,,,,,,
53.5,65.9,L,,,,,,,,,,,,,,,,,,,
53.5,91.5,L,,,,,,,,,,,,,,,,,,,
53.5,94.6,M,,,,,,,,,,,,,,,,,,,
53.5,133.3,S,,,,,,,,,,,,,,,,,,,
54.1,36.9,L,,,,,,,,,,,,,,,,,,,
54.1,111.6,L,,,,,,,,,,,,,,,,,,,
54.3,40.3,L,,,,,,,,,,,,,,,,,,,
54.3,56.6,M,,,,,,,,,,,,,,,,,,,
54.3,82.2,L,,,,,,,,,,,,,,,,,,,
54.3,85.3,M,,,,,,,,,,,,,,,,,,,
54.3,100,L,,,,,,,,,,,,,,,,,,,
54.3,106.2,L,,,,,,,,,,,,,,,,,,,
54.3,120.1,L,,,,,,,,,,,,,,,,,,,
54.3,127.9,L,,,,,,,,,,,,,,,,,,,
54.3,136.4,L,,,,,,,,,,,,,,,,,,,
54.3,143.4,M,,,,,,,,,,,,,,,,,,,
54.3,155,L,,,,,,,,,,,,,,,,,,,
54.3,158.1,M,,,,,,,,,,,,,,,,,,,
54.3,167.4,M,,,,,,,,,,,,,,,,,,,
54.4,98.1,L,,,,,,,,,,,,,,,,,,,
54.4,141.1,L,,,,,,,,,,,,,,,,,,,
54.7,161.1,L,,,,,,,,,,,,,,,,,,,
54.9,10.2,L,,,,,,,,,,,,,,,,,,,
54.9,43.7,L,,,,,,,,,,,,,,,,,,,
55,17.1,M,,,,,,,,,,,,,,,,,,,
55,27.1,L,,,,,,,,,,,,,,,,,,,
55,47.3,M,,,,,,,,,,,,,,,,,,,
55,50.4,L,,,,,,,,,,,,,,,,,,,
55,69,L,,,,,,,,,,,,,,,,,,,
55,77.5,L,,,,,,,,,,,,,,,,,,,
55,103.1,L,,,,,,,,,,,,,,,,,,,
55,114.7,L,,,,,,,,,,,,,,,,,,,
55,122.5,L,,,,,,,,,,,,,,,,,,,
55,146.5,L,,,,,,,,,,,,,,,,,,,
55,164.3,L,,,,,,,,,,,,,,,,,,,
55,170.5,L,,,,,,,,,,,,,,,,,,,
55,177.5,M,,,,,,,,,,,,,,,,,,,
55,181.4,L,,,,,,,,,,,,,,,,,,,
55,188.3,M,,,,,,,,,,,,,,,,,,,
55.5,24.3,L,,,,,,,,,,,,,,,,,,,
55.5,59.8,L,,,,,,,,,,,,,,,,,,,
55.5,109.7,M,,,,,,,,,,,,,,,,,,,
55.8,7,L,,,,,,,,,,,,,,,,,,,
55.8,20.2,L,,,,,,,,,,,,,,,,,,,
55.8,31.8,S,,,,,,,,,,,,,,,,,,,
55.8,53.5,L,,,,,,,,,,,,,,,,,,,
55.8,79.8,L,,,,,,,,,,,,,,,,,,,
55.8,138.7,M,,,,,,,,,,,,,,,,,,,
55.8,148.5,L,,,,,,,,,,,,,,,,,,,
56,151.8,L,,,,,,,,,,,,,,,,,,,
56.1,130.5,M,,,,,,,,,,,,,,,,,,,
56.6,34.9,L,,,,,,,,,,,,,,,,,,,
56.6,72.7,L,,,,,,,,,,,,,,,,,,,
56.6,89.1,L,,,,,,,,,,,,,,,,,,,
56.6,93,L,,,,,,,,,,,,,,,,,,,
56.6,96.1,L,,,,,,,,,,,,,,,,,,,
56.6,117.3,L,,,,,,,,,,,,,,,,,,,
56.6,125.6,M,,,,,,,,,,,,,,,,,,,
56.6,192.2,M,,,,,,,,,,,,,,,,,,,
56.7,13.3,L,,,,,,,,,,,,,,,,,,,
57,86.7,L,,,,,,,,,,,,,,,,,,,
57.2,99.1,L,,,,,,,,,,,,,,,,,,,
57.2,133.9,M,,,,,,,,,,,,,,,,,,,
57.4,4.7,L,,,,,,,,,,,,,,,,,,,
57.4,38,L,,,,,,,,,,,,,,,,,,,
57.4,66.7,M,,,,,,,,,,,,,,,,,,,
57.4,75.2,M,,,,,,,,,,,,,,,,,,,
57.4,82.9,L,,,,,,,,,,,,,,,,,,,
57.4,112.4,L,,,,,,,,,,,,,,,,,,,
57.4,127.9,M,,,,,,,,,,,,,,,,,,,
57.4,136.4,M,,,,,,,,,,,,,,,,,,,
57.4,154.2,L,,,,,,,,,,,,,,,,,,,
57.4,159.7,L,,,,,,,,,,,,,,,,,,,
57.4,172.8,L,,,,,,,,,,,,,,,,,,,
57.4,175.9,M,,,,,,,,,,,,,,,,,,,
57.5,102,L,,,,,,,,,,,,,,,,,,,
57.7,120.3,M,,,,,,,,,,,,,,,,,,,
58.1,10.1,L,,,,,,,,,,,,,,,,,,,
58.1,18.6,L,,,,,,,,,,,,,,,,,,,
58.1,41.9,L,,,,,,,,,,,,,,,,,,,
58.1,45,S,,,,,,,,,,,,,,,,,,,
58.1,57.4,M,,,,,,,,,,,,,,,,,,,
58.1,60.5,M,,,,,,,,,,,,,,,,,,,
58.1,69,L,,,,,,,,,,,,,,,,,,,
58.1,104.5,L,,,,,,,,,,,,,,,,,,,
58.1,107.7,S,,,,,,,,,,,,,,,,,,,
58.1,144.2,M,,,,,,,,,,,,,,,,,,,
58.1,169,L,,,,,,,,,,,,,,,,,,,
58.1,179,L,,,,,,,,,,,,,,,,,,,
58.1,182.1,M,,,,,,,,,,,,,,,,,,,
58.1,186,L,,,,,,,,,,,,,,,,,,,
58.3,162.5,L,,,,,,,,,,,,,,,,,,,
58.7,25.9,L,,,,,,,,,,,,,,,,,,,
58.7,48.2,L,,,,,,,,,,,,,,,,,,,
58.7,51.5,M,,,,,,,,,,,,,,,,,,,
58.9,15.5,L,,,,,,,,,,,,,,,,,,,
58.9,22.5,L,,,,,,,,,,,,,,,,,,,
58.9,29.5,L,,,,,,,,,,,,,,,,,,,
58.9,54.3,L,,,,,,,,,,,,,,,,,,,
58.9,115.5,L,,,,,,,,,,,,,,,,,,,
58.9,123.2,M,,,,,,,,,,,,,,,,,,,
58.9,138.7,L,,,,,,,,,,,,,,,,,,,
58.9,148,L,,,,,,,,,,,,,,,,,,,
58.9,192.2,L,,,,,,,,,,,,,,,,,,,
59.5,133.2,M,,,,,,,,,,,,,,,,,,,
59.7,6.2,L,,,,,,,,,,,,,,,,,,,
59.7,13.2,L,,,,,,,,,,,,,,,,,,,
59.7,32.6,L,,,,,,,,,,,,,,,,,,,
59.7,35.7,L,,,,,,,,,,,,,,,,,,,
59.7,63.6,M,,,,,,,,,,,,,,,,,,,
59.7,72.9,L,,,,,,,,,,,,,,,,,,,
59.7,79.1,L,,,,,,,,,,,,,,,,,,,
59.7,87.6,L,,,,,,,,,,,,,,,,,,,
59.7,90.7,L,,,,,,,,,,,,,,,,,,,
59.7,94.6,M,,,,,,,,,,,,,,,,,,,
59.7,141.8,M,,,,,,,,,,,,,,,,,,,
59.7,151.9,L,,,,,,,,,,,,,,,,,,,
60.3,97.8,L,,,,,,,,,,,,,,,,,,,
60.5,39.5,L,,,,,,,,,,,,,,,,,,,
60.5,66.7,M,,,,,,,,,,,,,,,,,,,
60.5,84.5,L,,,,,,,,,,,,,,,,,,,
60.5,100.4,L,,,,,,,,,,,,,,,,,,,
60.5,103.1,L,,,,,,,,,,,,,,,,,,,
60.5,112.4,L,,,,,,,,,,,,,,,,,,,
60.5,155,L,,,,,,,,,,,,,,,,,,,
60.5,161.2,L,,,,,,,,,,,,,,,,,,,
60.5,163.5,L,,,,,,,,,,,,,,,,,,,
60.5,171.3,L,,,,,,,,,,,,,,,,,,,
60.5,177.5,M,,,,,,,,,,,,,,,,,,,
60.5,181.4,L,,,,,,,,,,,,,,,,,,,
60.6,174.5,M,,,,,,,,,,,,,,,,,,,
60.8,167.7,L,,,,,,,,,,,,,,,,,,,
61.1,120.4,L,,,,,,,,,,,,,,,,,,,
61.2,3.1,L,,,,,,,,,,,,,,,,,,,
61.2,49.6,M,,,,,,,,,,,,,,,,,,,
61.2,58.9,M,,,,,,,,,,,,,,,,,,,
61.2,69.8,M,,,,,,,,,,,,,,,,,,,
61.2,82.2,L,,,,,,,,,,,,,,,,,,,
61.2,107,L,,,,,,,,,,,,,,,,,,,
61.2,115.5,L,,,,,,,,,,,,,,,,,,,
61.2,183.7,L,,,,,,,,,,,,,,,,,,,
61.7,43.4,L,,,,,,,,,,,,,,,,,,,
61.8,123.2,M,,,,,,,,,,,,,,,,,,,
62,9.3,M,,,,,,,,,,,,,,,,,,,
62,16.3,L,,,,,,,,,,,,,,,,,,,
62,20.2,L,,,,,,,,,,,,,,,,,,,
62,24,L,,,,,,,,,,,,,,,,,,,
62,27.1,L,,,,,,,,,,,,,,,,,,,
62,52.7,L,,,,,,,,,,,,,,,,,,,
62,61.2,M,,,,,,,,,,,,,,,,,,,
62,73.6,M,,,,,,,,,,,,,,,,,,,
62,126.3,L,,,,,,,,,,,,,,,,,,,
62,131,L,,,,,,,,,,,,,,,,,,,
62,139.5,L,,,,,,,,,,,,,,,,,,,
62.3,156.6,L,,,,,,,,,,,,,,,,,,,
62.8,12.4,L,,,,,,,,,,,,,,,,,,,
62.8,30.2,L,,,,,,,,,,,,,,,,,,,
62.8,34.1,L,,,,,,,,,,,,,,,,,,,
62.8,37.2,L,,,,,,,,,,,,,,,,,,,
62.8,46.5,M,,,,,,,,,,,,,,,,,,,
62.8,55.8,L,,,,,,,,,,,,,,,,,,,
62.8,64.3,M,,,,,,,,,,,,,,,,,,,
62.8,78.3,L,,,,,,,,,,,,,,,,,,,
62.8,89.9,L,,,,,,,,,,,,,,,,,,,
62.8,95.3,L,,,,,,,,,,,,,,,,,,,
62.8,98.4,L,,,,,,,,,,,,,,,,,,,
62.8,109.6,L,,,,,,,,,,,,,,,,,,,
62.8,117.8,M,,,,,,,,,,,,,,,,,,,
62.8,147.3,L,,,,,,,,,,,,,,,,,,,
62.8,159.7,L,,,,,,,,,,,,,,,,,,,
62.9,153,L,,,,,,,,,,,,,,,,,,,
63.1,134.4,L,,,,,,,,,,,,,,,,,,,
63.4,6,L,,,,,,,,,,,,,,,,,,,
63.4,169.7,L,,,,,,,,,,,,,,,,,,,
63.6,67.4,S,,,,,,,,,,,,,,,,,,,
63.6,76,L,,,,,,,,,,,,,,,,,,,
63.6,102.2,L,,,,,,,,,,,,,,,,,,,
63.6,104.6,L,,,,,,,,,,,,,,,,,,,
63.6,120.9,L,,,,,,,,,,,,,,,,,,,
63.6,141.8,L,,,,,,,,,,,,,,,,,,,
63.6,172.8,M,,,,,,,,,,,,,,,,,,,
63.6,175.9,M,,,,,,,,,,,,,,,,,,,
63.6,179,M,,,,,,,,,,,,,,,,,,,
64.2,166.3,M,,,,,,,,,,,,,,,,,,,
64.3,41.1,M,,,,,,,,,,,,,,,,,,,
64.3,58.9,L,,,,,,,,,,,,,,,,,,,
64.3,84.5,L,,,,,,,,,,,,,,,,,,,
64.3,115.5,L,,,,,,,,,,,,,,,,,,,
64.3,124,L,,,,,,,,,,,,,,,,,,,
64.3,137.2,L,,,,,,,,,,,,,,,,,,,
64.3,162.8,L,,,,,,,,,,,,,,,,,,,
64.3,182.9,L,,,,,,,,,,,,,,,,,,,
64.6,107.4,L,,,,,,,,,,,,,,,,,,,
64.9,149.1,L,,,,,,,,,,,,,,,,,,,
65.1,1.6,L,,,,,,,,,,,,,,,,,,,
65.1,18.6,L,,,,,,,,,,,,,,,,,,,
65.1,21.7,L,,,,,,,,,,,,,,,,,,,
65.1,25.6,L,,,,,,,,,,,,,,,,,,,
65.1,50.4,L,,,,,,,,,,,,,,,,,,,
65.1,53.5,L,,,,,,,,,,,,,,,,,,,
65.1,79.1,M,,,,,,,,,,,,,,,,,,,
65.1,81.4,L,,,,,,,,,,,,,,,,,,,
65.1,132.4,M,,,,,,,,,,,,,,,,,,,
65.1,139.5,L,,,,,,,,,,,,,,,,,,,
65.1,144.9,L,,,,,,,,,,,,,,,,,,,
65.6,28.5,M,,,,,,,,,,,,,,,,,,,
65.6,44.3,L,,,,,,,,,,,,,,,,,,,
65.6,99.1,L,,,,,,,,,,,,,,,,,,,
65.9,7.8,L,,,,,,,,,,,,,,,,,,,
65.9,31.8,L,,,,,,,,,,,,,,,,,,,
65.9,56.6,M,,,,,,,,,,,,,,,,,,,
65.9,62,L,,,,,,,,,,,,,,,,,,,
65.9,73.6,M,,,,,,,,,,,,,,,,,,,
65.9,88.4,L,,,,,,,,,,,,,,,,,,,
65.9,91.5,L,,,,,,,,,,,,,,,,,,,
65.9,93.8,L,,,,,,,,,,,,,,,,,,,
65.9,96.9,L,,,,,,,,,,,,,,,,,,,
65.9,102.3,M,,,,,,,,,,,,,,,,,,,
65.9,105.4,M,,,,,,,,,,,,,,,,,,,
65.9,110.1,L,,,,,,,,,,,,,,,,,,,
65.9,127.1,L,,,,,,,,,,,,,,,,,,,
65.9,147.3,L,,,,,,,,,,,,,,,,,,,
65.9,157.3,L,,,,,,,,,,,,,,,,,,,
65.9,160.4,L,,,,,,,,,,,,,,,,,,,
65.9,188.3,L,,,,,,,,,,,,,,,,,,,
66.3,37.7,L,,,,,,,,,,,,,,,,,,,
66.3,171.4,M,,,,,,,,,,,,,,,,,,,
66.7,10.9,S,,,,,,,,,,,,,,,,,,,
66.7,35.7,M,,,,,,,,,,,,,,,,,,,
66.7,47.3,M,,,,,,,,,,,,,,,,,,,
66.7,65.4,L,,,,,,,,,,,,,,,,,,,
66.7,69,M,,,,,,,,,,,,,,,,,,,
66.7,113.2,L,,,,,,,,,,,,,,,,,,,
66.7,116.7,L,,,,,,,,,,,,,,,,,,,
66.7,121.7,L,,,,,,,,,,,,,,,,,,,
66.7,134.2,L,,,,,,,,,,,,,,,,,,,
66.7,167.9,L,,,,,,,,,,,,,,,,,,,
66.7,176.7,M,,,,,,,,,,,,,,,,,,,
66.7,193,L,,,,,,,,,,,,,,,,,,,
66.8,15.3,M,,,,,,,,,,,,,,,,,,,
66.8,136.9,L,,,,,,,,,,,,,,,,,,,
67.1,185.5,L,,,,,,,,,,,,,,,,,,,
67.4,59.7,L,,,,,,,,,,,,,,,,,,,
67.4,82.9,L,,,,,,,,,,,,,,,,,,,
67.4,151.9,L,,,,,,,,,,,,,,,,,,,
67.6,129.9,L,,,,,,,,,,,,,,,,,,,
67.7,76.4,L,,,,,,,,,,,,,,,,,,,
67.7,154.9,L,,,,,,,,,,,,,,,,,,,
68.2,20.2,M,,,,,,,,,,,,,,,,,,,
68.2,41.1,M,,,,,,,,,,,,,,,,,,,
68.2,73.6,L,,,,,,,,,,,,,,,,,,,
68.2,79.8,M,,,,,,,,,,,,,,,,,,,
68.2,104.6,L,,,,,,,,,,,,,,,,,,,
68.2,107.7,L,,,,,,,,,,,,,,,,,,,
68.2,131.8,L,,,,,,,,,,,,,,,,,,,
68.2,144.9,L,,,,,,,,,,,,,,,,,,,
68.2,162,L,,,,,,,,,,,,,,,,,,,
68.5,62.2,L,,,,,,,,,,,,,,,,,,,
68.7,158.9,L,,,,,,,,,,,,,,,,,,,
68.8,24,M,,,,,,,,,,,,,,,,,,,
69,7.8,L,,,,,,,,,,,,,,,,,,,
69,17.1,L,,,,,,,,,,,,,,,,,,,
69,26.4,L,,,,,,,,,,,,,,,,,,,
69,30.2,M,,,,,,,,,,,,,,,,,,,
69,49.6,L,,,,,,,,,,,,,,,,,,,
69,52.7,L,,,,,,,,,,,,,,,,,,,
69,86.8,S,,,,,,,,,,,,,,,,,,,
69,89.9,L,,,,,,,,,,,,,,,,,,,
69,92.2,L,,,,,,,,,,,,,,,,,,,
69,95.3,L,,,,,,,,,,,,,,,,,,,
69,98.4,L,,,,,,,,,,,,,,,,,,,
69,101.5,S,,,,,,,,,,,,,,,,,,,
69,117.8,L,,,,,,,,,,,,,,,,,,,
69,127.1,M,,,,,,,,,,,,,,,,,,,
69,134.9,L,,,,,,,,,,,,,,,,,,,
69,140,M,,,,,,,,,,,,,,,,,,,
69,166.6,L,,,,,,,,,,,,,,,,,,,
69,169.7,L,,,,,,,,,,,,,,,,,,,
69,172.8,L,,,,,,,,,,,,,,,,,,,
69,189.1,M,,,,,,,,,,,,,,,,,,,
69.3,33.8,L,,,,,,,,,,,,,,,,,,,
69.6,44.5,L,,,,,,,,,,,,,,,,,,,
69.6,147.6,M,,,,,,,,,,,,,,,,,,,
69.8,1.6,L,,,,,,,,,,,,,,,,,,,
69.8,14.7,L,,,,,,,,,,,,,,,,,,,
69.8,37.2,L,,,,,,,,,,,,,,,,,,,
69.8,57.4,M,,,,,,,,,,,,,,,,,,,
69.8,122.5,L,,,,,,,,,,,,,,,,,,,
69.8,179,L,,,,,,,,,,,,,,,,,,,
69.8,193,M,,,,,,,,,,,,,,,,,,,
70.2,109.6,M,,,,,,,,,,,,,,,,,,,
70.4,47.6,L,,,,,,,,,,,,,,,,,,,
70.5,60.5,M,,,,,,,,,,,,,,,,,,,
70.5,69,L,,,,,,,,,,,,,,,,,,,
70.5,81.4,L,,,,,,,,,,,,,,,,,,,
70.5,112.4,M,,,,,,,,,,,,,,,,,,,
70.5,142.6,M,,,,,,,,,,,,,,,,,,,
70.5,151,L,,,,,,,,,,,,,,,,,,,
70.5,153.5,M,,,,,,,,,,,,,,,,,,,
70.5,185.9,L,,,,,,,,,,,,,,,,,,,
71.2,78.1,M,,,,,,,,,,,,,,,,,,,
71.3,3.9,L,,,,,,,,,,,,,,,,,,,
71.3,10.1,L,,,,,,,,,,,,,,,,,,,
71.3,21.7,L,,,,,,,,,,,,,,,,,,,
71.3,24.8,L,,,,,,,,,,,,,,,,,,,
71.3,41.9,M,,,,,,,,,,,,,,,,,,,
71.3,64.6,M,,,,,,,,,,,,,,,,,,,
71.3,72.1,L,,,,,,,,,,,,,,,,,,,
71.3,84.5,M,,,,,,,,,,,,,,,,,,,
71.3,103.1,M,,,,,,,,,,,,,,,,,,,
71.3,106.2,L,,,,,,,,,,,,,,,,,,,
71.3,115.5,M,,,,,,,,,,,,,,,,,,,
71.3,132.5,M,,,,,,,,,,,,,,,,,,,
71.3,145.7,M,,,,,,,,,,,,,,,,,,,
71.3,155.8,M,,,,,,,,,,,,,,,,,,,
71.3,159.7,L,,,,,,,,,,,,,,,,,,,
71.3,162.8,L,,,,,,,,,,,,,,,,,,,
71.9,99.2,L,,,,,,,,,,,,,,,,,,,
72.1,27.9,L,,,,,,,,,,,,,,,,,,,
72.1,39.5,M,,,,,,,,,,,,,,,,,,,
72.1,51.2,L,,,,,,,,,,,,,,,,,,,
72.1,90.7,M,,,,,,,,,,,,,,,,,,,
72.1,96.9,L,,,,,,,,,,,,,,,,,,,
72.1,118.6,M,,,,,,,,,,,,,,,,,,,
72.1,182.1,M,,,,,,,,,,,,,,,,,,,
72.4,32.4,L,,,,,,,,,,,,,,,,,,,
72.7,45.3,L,,,,,,,,,,,,,,,,,,,
72.7,54.6,M,,,,,,,,,,,,,,,,,,,
72.9,18.6,S,,,,,,,,,,,,,,,,,,,
72.9,35.3,M,,,,,,,,,,,,,,,,,,,
72.9,57.4,M,,,,,,,,,,,,,,,,,,,
72.9,63.6,M,,,,,,,,,,,,,,,,,,,
72.9,66.7,L,,,,,,,,,,,,,,,,,,,
72.9,174.4,M,,,,,,,,,,,,,,,,,,,
72.9,193.8,L,,,,,,,,,,,,,,,,,,,
73.2,6.8,L,,,,,,,,,,,,,,,,,,,
73.6,12.4,L,,,,,,,,,,,,,,,,,,,
73.6,70.5,M,,,,,,,,,,,,,,,,,,,
73.6,73.6,M,,,,,,,,,,,,,,,,,,,
73.6,76.7,M,,,,,,,,,,,,,,,,,,,
73.6,79.8,M,,,,,,,,,,,,,,,,,,,
73.6,82.9,L,,,,,,,,,,,,,,,,,,,
73.6,107.7,L,,,,,,,,,,,,,,,,,,,
73.6,113.2,L,,,,,,,,,,,,,,,,,,,
73.6,124,L,,,,,,,,,,,,,,,,,,,
73.6,127.1,L,,,,,,,,,,,,,,,,,,,
73.6,130.2,L,,,,,,,,,,,,,,,,,,,
73.6,138,M,,,,,,,,,,,,,,,,,,,
73.6,144.2,L,,,,,,,,,,,,,,,,,,,
73.6,151.1,L,,,,,,,,,,,,,,,,,,,
73.6,169,S,,,,,,,,,,,,,,,,,,,
73.9,186,L,,,,,,,,,,,,,,,,,,,
74.1,104.5,L,,,,,,,,,,,,,,,,,,,
74.4,48.1,L,,,,,,,,,,,,,,,,,,,
74.4,86,M,,,,,,,,,,,,,,,,,,,
74.4,89.1,M,,,,,,,,,,,,,,,,,,,
74.4,92.2,M,,,,,,,,,,,,,,,,,,,
74.4,98.4,L,,,,,,,,,,,,,,,,,,,
74.4,100.8,L,,,,,,,,,,,,,,,,,,,
74.4,116.3,L,,,,,,,,,,,,,,,,,,,
74.4,132.7,L,,,,,,,,,,,,,,,,,,,
74.4,141.1,L,,,,,,,,,,,,,,,,,,,
74.4,154.4,L,,,,,,,,,,,,,,,,,,,
74.4,157.3,L,,,,,,,,,,,,,,,,,,,
74.4,160.4,L,,,,,,,,,,,,,,,,,,,
74.4,163.5,L,,,,,,,,,,,,,,,,,,,
74.9,95.2,M,,,,,,,,,,,,,,,,,,,
75.2,3.9,M,,,,,,,,,,,,,,,,,,,
75.2,20.9,L,,,,,,,,,,,,,,,,,,,
75.2,26.4,L,,,,,,,,,,,,,,,,,,,
75.2,35.7,L,,,,,,,,,,,,,,,,,,,
75.2,42.6,L,,,,,,,,,,,,,,,,,,,
75.2,182.1,L,,,,,,,,,,,,,,,,,,,
75.2,188.3,M,,,,,,,,,,,,,,,,,,,
75.6,45.4,L,,,,,,,,,,,,,,,,,,,
75.6,146.5,L,,,,,,,,,,,,,,,,,,,
75.8,29.6,L,,,,,,,,,,,,,,,,,,,
76,39.5,S,,,,,,,,,,,,,,,,,,,
76,55.8,M,,,,,,,,,,,,,,,,,,,
76,58.1,M,,,,,,,,,,,,,,,,,,,
76,62,L,,,,,,,,,,,,,,,,,,,
76,68.2,M,,,,,,,,,,,,,,,,,,,
76,106.2,L,,,,,,,,,,,,,,,,,,,
76,108.5,L,,,,,,,,,,,,,,,,,,,
76,122.5,L,,,,,,,,,,,,,,,,,,,
76.1,33,L,,,,,,,,,,,,,,,,,,,
76.7,12.4,M,,,,,,,,,,,,,,,,,,,
76.7,17.8,L,,,,,,,,,,,,,,,,,,,
76.7,71.3,M,,,,,,,,,,,,,,,,,,,
76.7,75.2,M,,,,,,,,,,,,,,,,,,,
76.7,76.7,L,,,,,,,,,,,,,,,,,,,
76.7,81.4,L,,,,,,,,,,,,,,,,,,,
76.7,85.3,M,,,,,,,,,,,,,,,,,,,
