Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
20.3,220.1,M,,,,,,23,41.2,S,,,,,,25.7,121.5,M,,,,,,29,201.9,M,,,,,,30.4,215.4,L,,,,,,53.3,201.9,M,,,,,,50,74.9,M,,,,,,99.3,226.9,M,,,,
20.6,21.9,L,,,,,,23,51.3,L,,,,,,25.7,130.3,M,,,,,,29,205.9,M,,,,,,31.1,68.9,M,,,,,,54,20.9,S,,,,,,50,102,M,,,,,,99.9,62.1,S,,,,
20.8,214.4,M,,,,,,23,55.4,M,,,,,,25.7,156.6,M,,,,,,29,209.3,M,,,,,,31.1,85.1,M,,,,,,54,50.6,L,,,,,,50,112.8,M,,,,,,99.9,205.9,S,,,,
20.9,12.8,L,,,,,,23,60.8,S,,,,,,25.7,160,M,,,,,,29,221.5,M,,,,,,31.1,89.1,L,,,,,,54,72.9,L,,,,,,50,143.8,M,,,,,,99.9,284.3,L,,,,
20.9,33.1,L,,,,,,23,84.4,S,,,,,,25.7,166.1,M,,,,,,29,226.2,M,,,,,,31.1,95.2,L,,,,,,54,95.9,M,,,,,,50,175.6,M,,,,,,100.6,24.3,M,,,,
20.9,62.8,M,,,,,,23,112.1,L,,,,,,25.7,214,L,,,,,,29,230.2,L,,,,,,31.1,153.9,M,,,,,,54,108,M,,,,,,50,197.2,M,,,,,,100.6,87.8,M,,,,
20.9,79.7,M,,,,,,23,157.3,M,,,,,,25.7,230.2,NC,,,,,,29.3,218,NC,,,,,,31.1,164.1,M,,,,,,54,119.5,M,,,,,,50,287.6,L,,,,,,100.6,162.7,M,,,,
20.9,123.6,M,,,,,,23,215.4,M,,,,,,26.1,223.5,M,,,,,,29.7,12.8,M,,,,,,31.1,187,L,,,,,,54,124.9,L,,,,,,50.6,5.4,M,,,,,,101.3,268.1,L,,,,
20.9,126.9,M,,,,,,23.6,22.3,L,,,,,,26.3,18.9,S,,,,,,29.7,17.6,M,,,,,,31.1,191.1,M,,,,,,54.7,35.1,L,,,,,,50.6,20.3,M,,,,,,101.3,298.4,NC,,,,
20.9,166.1,M,,,,,,23.6,25.7,L,,,,,,26.3,27.7,M,,,,,,29.7,22.3,M,,,,,,31.1,195.8,M,,,,,,54.7,77.6,L,,,,,,50.6,129,L,,,,,,102,33.8,M,,,,
20.9,201.2,M,,,,,,23.6,73.6,L,,,,,,26.3,55.4,M,,,,,,29.7,27,S,,,,,,31.1,232.3,M,,,,,,54.7,83,L,,,,,,50.6,165.4,M,,,,,,102,171.5,M,,,,
20.9,225.5,M,,,,,,23.6,80.3,L,,,,,,26.3,59.4,M,,,,,,29.7,48.6,L,,,,,,31.7,25.7,S,,,,,,54.7,163.4,L,,,,,,50.6,207.3,M,,,,,,102,276.8,M,,,,
21,97.8,M,,,,,,23.6,102.6,M,,,,,,26.3,172.9,L,,,,,,29.7,79.7,L,,,,,,31.7,128.3,M,,,,,,54.7,174.9,L,,,,,,50.6,269.4,L,,,,,,102.6,42.5,M,,,,
21.6,58.7,M,,,,,,23.6,122.2,M,,,,,,26.3,178.9,M,,,,,,29.7,143.1,M,,,,,,31.7,135,M,,,,,,54.7,218.1,L,,,,,,50.6,279.5,M,,,,,,102.6,150.6,M,,,,
21.6,68.2,M,,,,,,23.6,160.7,NC,,,,,,26.3,197.8,M,,,,,,29.7,197.2,L,,,,,,32.4,2.7,L,,,,,,55.4,15.5,M,,,,,,51.3,31.7,L,,,,,,102.6,212,L,,,,
21.6,74.3,M,,,,,,23.6,197.8,M,,,,,,26.3,207.3,M,,,,,,29.7,235,L,,,,,,32.4,121.5,L,,,,,,55.4,129.6,L,,,,,,51.3,95.9,M,,,,,,102.6,241.7,M,,,,
21.6,100.6,M,,,,,,23.6,218.8,M,,,,,,26.3,234.3,M,,,,,,30.4,4.1,M,,,,,,32.4,142.5,M,,,,,,55.4,186.4,L,,,,,,51.3,151.2,L,,,,,,102.6,249.1,M,,,,
21.6,132.3,M,,,,,,23.6,228.2,M,,,,,,26.5,68.2,M,,,,,,30.4,57.4,M,,,,,,32.4,167.4,M,,,,,,56,62.8,L,,,,,,51.3,161.4,M,,,,,,103.3,183,L,,,,
21.6,141.1,M,,,,,,23.8,109.1,M,,,,,,27,81,M,,,,,,30.4,72.9,L,,,,,,32.4,178.3,M,,,,,,56,100.6,L,,,,,,51.3,189.7,M,,,,,,104,51.3,M,,,,
21.6,186,M,,,,,,24,67.5,L,,,,,,27,109.4,L,,,,,,30.4,87.1,L,,,,,,32.4,205.3,M,,,,,,56,133.7,L,,,,,,51.3,202.6,L,,,,,,104,141.8,M,,,,
22.2,108.2,NC,,,,,,24.1,29.9,M,,,,,,27,117.5,M,,,,,,30.4,93.9,M,,,,,,32.4,209.3,M,,,,,,56,143.1,L,,,,,,51.3,213.4,L,,,,,,104.7,9.5,L,,,,
22.3,17.6,M,,,,,,24.2,173.8,M,,,,,,27,149.9,M,,,,,,30.4,123.6,M,,,,,,33.1,35.1,L,,,,,,56,151.9,L,,,,,,51.3,248.5,M,,,,,,106,16.9,M,,,,
22.3,27,M,,,,,,24.3,18.2,L,,,,,,27,185,L,,,,,,30.4,135,L,,,,,,33.1,77,L,,,,,,56.7,28.4,M,,,,,,52,240.4,M,,,,,,106,106,M,,,,
22.3,39.2,M,,,,,,24.3,45.2,L,,,,,,27,192.4,M,,,,,,30.4,153.3,M,,,,,,33.1,103.3,M,,,,,,56.7,158.7,S,,,,,,52.7,11.5,L,,,,,,106,255.9,S,,,,
22.3,48.6,M,,,,,,24.3,90.5,M,,,,,,27,219.4,M,,,,,,30.4,180.3,L,,,,,,33.1,149.9,M,,,,,,56.7,189.7,L,,,,,,52.7,58.1,M,,,,,,106.7,190.4,M,,,,
22.3,87.8,L,,,,,,24.3,95.9,M,,,,,,27.7,40.5,M,,,,,,31.1,39.8,L,,,,,,33.1,158.7,L,,,,,,57.4,10.8,L,,,,,,53.3,77.6,L,,,,,,107.4,222.8,M,,,,
22.3,92.5,M,,,,,,24.3,115.5,M,,,,,,27.7,52,M,,,,,,31.1,43.9,L,,,,,,33.1,171.5,M,,,,,,57.4,40.5,M,,,,,,53.3,120.9,L,,,,,,108,25,S,,,,
22.3,104,M,,,,,,24.3,129.6,M,,,,,,27.7,98.6,S,,,,,,31.1,53.3,L,,,,,,33.1,201.2,M,,,,,,57.4,69.5,L,,,,,,53.3,234.3,M,,,,,,108,134.4,L,,,,
22.3,135.7,L,,,,,,24.3,139.1,S,,,,,,27.7,124.2,M,,,,,,31.1,99.9,M,,,,,,33.1,228.9,M,,,,,,57.4,92.5,L,,,,,,53.3,290.3,L,,,,,,108,284.3,L,,,,
22.3,155.2,M,,,,,,24.3,152.6,M,,,,,,27.7,136.4,M,,,,,,31.1,112.8,M,,,,,,33.4,4.7,L,,,,,,57.4,211.3,M,,,,,,53.3,297.8,NC,,,,,,108.7,68.9,L,,,,
22.3,169.5,L,,,,,,24.3,179.6,M,,,,,,27.7,143.8,M,,,,,,31.1,116.1,L,,,,,,33.8,45.2,M,,,,,,58.1,58.7,M,,,,,,54,52.7,M,,,,,,108.7,159.3,L,,,,
22.3,205.3,M,,,,,,24.3,201.9,M,,,,,,27.7,163.4,M,,,,,,31.7,83,M,,,,,,33.8,109.4,M,,,,,,58.1,87.8,M,,,,,,54,108.7,M,,,,,,108.7,175.6,L,,,,
22.3,228.2,M,,,,,,24.3,224.8,M,,,,,,27.7,169.5,M,,,,,,31.7,96.6,NC,,,,,,33.8,113.4,L,,,,,,58.1,114.1,M,,,,,,54,135,M,,,,,,109.4,31.7,L,,,,
22.5,190.9,M,,,,,,25,14.2,L,,,,,,27.7,210.7,M,,,,,,31.7,108,M,,,,,,33.8,117.5,L,,,,,,58.1,205.9,M,,,,,,54.7,181,L,,,,,,109.4,37.8,M,,,,
22.7,45.1,M,,,,,,25,48.6,L,,,,,,27.7,226.2,M,,,,,,31.7,131.7,M,,,,,,33.8,138.4,L,,,,,,58.7,6.1,M,,,,,,55.4,63.5,M,,,,,,109.4,94.5,M,,,,
22.7,183,L,,,,,,25,58.1,L,,,,,,28.2,129.9,M,,,,,,31.7,164.7,M,,,,,,33.8,220.8,S,,,,,,58.7,45.9,L,,,,,,55.4,70.9,M,,,,,,109.4,120.9,S,,,,
23,4.1,S,,,,,,25,142.5,M,,,,,,28.4,4.7,L,,,,,,31.7,168.8,M,,,,,,33.8,224.8,L,,,,,,59.4,53.3,M,,,,,,55.4,84.4,M,,,,,,109.4,128.3,S,,,,
23,7.4,M,,,,,,25,164.7,M,,,,,,28.4,15.5,L,,,,,,31.7,189.7,M,,,,,,34.4,12.2,M,,,,,,59.4,122.2,L,,,,,,55.4,140.4,L,,,,,,109.4,200.5,M,,,,
23,52.7,L,,,,,,25,232.3,M,,,,,,28.4,34.4,M,,,,,,32.4,156.6,M,,,,,,34.4,17.6,M,,,,,,59.4,177.6,L,,,,,,55.4,170.1,M,,,,,,109.4,231.6,S,,,,
23,77,M,,,,,,25.7,87.1,M,,,,,,28.4,87.1,M,,,,,,32.4,173.5,M,,,,,,34.4,41.9,M,,,,,,59.4,199.2,L,,,,,,55.4,216.7,M,,,,,,110.1,84.4,M,,,,
23,118.2,M,,,,,,25.7,105.3,M,,,,,,28.4,95.2,L,,,,,,32.4,183.7,M,,,,,,34.4,61.4,M,,,,,,60.1,18.2,L,,,,,,55.4,222.8,L,,,,,,110.1,147.2,S,,,,
23,143.8,M,,,,,,25.7,125.6,M,,,,,,28.4,112.8,M,,,,,,32.4,193.8,L,,,,,,34.4,65.5,L,,,,,,60.1,78.3,L,,,,,,55.4,230.2,M,,,,,,110.1,293.7,NC,,,,
23,193.8,S,,,,,,25.7,133,M,,,,,,29,8.1,M,,,,,,33.1,10.1,M,,,,,,34.4,91.8,L,,,,,,60.1,147.9,L,,,,,,55.4,264,M,,,,,,110.7,59.4,L,,,,
23,216.7,M,,,,,,25.7,155.2,NC,,,,,,29,22.3,M,,,,,,33.1,18.9,L,,,,,,34.4,174.9,M,,,,,,60.1,167.4,M,,,,,,56,16.9,L,,,,,,110.7,114.1,S,,,,
23.3,110.7,M,,,,,,25.7,193.8,M,,,,,,29,31.1,L,,,,,,33.1,35.1,L,,,,,,34.4,182.3,M,,,,,,60.1,172.2,L,,,,,,56,91.8,S,,,,,,111.4,208,L,,,,
23.5,129.2,M,,,,,,25.7,205.9,M,,,,,,29,44.6,S,,,,,,33.1,77.6,L,,,,,,34.4,235.6,L,,,,,,60.1,183.7,M,,,,,,56,99.9,L,,,,,,112.1,4.1,L,,,,
23.6,23,L,,,,,,25.7,235.6,M,,,,,,29,61.4,M,,,,,,33.1,90.5,L,,,,,,35,99,L,,,,,,60.8,23,L,,,,,,56,146.5,M,,,,,,112.1,44.6,M,,,,
23.6,70.9,M,,,,,,26,10.3,L,,,,,,29,64.8,M,,,,,,33.1,120.2,S,,,,,,35.1,8.8,M,,,,,,60.8,106,M,,,,,,56,193.1,M,,,,,,112.8,74.9,L,,,,
23.6,114.1,L,,,,,,26.1,77.3,M,,,,,,29,71.6,L,,,,,,33.1,126.9,L,,,,,,35.1,29.7,M,,,,,,60.8,139.8,M,,,,,,56,253.9,S,,,,,,112.8,100.6,L,,,,
23.6,160.7,S,,,,,,26.1,92.9,L,,,,,,29,175.6,M,,,,,,33.1,141.1,M,,,,,,35.1,48.6,M,,,,,,60.8,153.3,L,,,,,,56,285.6,M,,,,,,112.8,214.7,M,,,,
23.6,199.9,M,,,,,,26.3,39.2,L,,,,,,29,201.2,M,,,,,,33.1,147.2,M,,,,,,35.1,52.7,L,,,,,,60.8,193.1,L,,,,,,56.7,40.5,L,,,,,,112.8,254.5,M,,,,
23.6,209.3,M,,,,,,26.3,64.1,L,,,,,,29.2,217.4,M,,,,,,33.1,160.7,L,,,,,,35.1,72.9,L,,,,,,60.8,215.4,M,,,,,,56.7,45.9,M,,,,,,114.8,165.4,M,,,,
23.6,222.8,M,,,,,,26.3,70.2,L,,,,,,29.7,74.9,M,,,,,,33.1,208.6,M,,,,,,35.1,132.3,L,,,,,,61.4,31.7,M,,,,,,56.7,197.8,M,,,,,,114.8,237,M,,,,
23.6,231.6,L,,,,,,26.3,98.6,M,,,,,,29.7,104.7,S,,,,,,33.1,211.3,M,,,,,,35.1,153.9,M,,,,,,61.4,73.6,M,,,,,,56.7,269.4,S,,,,,,114.8,245.8,S,,,,
23.7,105.8,L,,,,,,26.3,118.8,L,,,,,,29.7,130.3,M,,,,,,33.1,223.5,L,,,,,,35.1,162,M,,,,,,61.4,135.7,S,,,,,,56.7,282.2,S,,,,,,115.5,11.5,S,,,,
23.7,163.6,M,,,,,,26.3,145.8,M,,,,,,29.7,133,M,,,,,,33.6,144.3,M,,,,,,35.1,214,M,,,,,,62.1,14.2,M,,,,,,56.7,302.5,M,,,,,,115.5,141.8,L,,,,
23.8,29.9,M,,,,,,26.3,170.1,M,,,,,,29.7,140.4,M,,,,,,33.8,6.1,M,,,,,,35.1,217.4,M,,,,,,62.1,37.1,S,,,,,,57.4,30.4,S,,,,,,115.5,287.6,S,,,,
23.8,62,M,,,,,,26.3,176.2,M,,,,,,29.7,147.2,L,,,,,,33.8,14.9,M,,,,,,35.8,20.9,M,,,,,,62.1,82.4,L,,,,,,57.4,116.1,M,,,,,,116.1,108,L,,,,
24.1,36.5,M,,,,,,26.3,185,M,,,,,,29.7,153.3,NC,,,,,,33.8,25.7,M,,,,,,35.8,124.9,M,,,,,,62.1,97.9,M,,,,,,57.4,125.6,M,,,,,,116.1,185,L,,,,
24.3,10.9,L,,,,,,26.3,189.1,M,,,,,,29.7,181.6,M,,,,,,33.8,69.5,L,,,,,,35.8,145.2,M,,,,,,62.1,126.3,S,,,,,,57.4,186.4,L,,,,,,116.8,26.3,L,,,,
24.3,84.4,L,,,,,,26.3,209.3,M,,,,,,29.7,195.1,M,,,,,,33.8,104,M,,,,,,35.8,185.7,S,,,,,,62.8,64.1,M,,,,,,57.4,204.6,L,,,,,,116.8,189.7,S,,,,
24.3,95.2,M,,,,,,26.3,221.5,L,,,,,,29.7,205.3,S,,,,,,33.8,197.8,L,,,,,,35.8,197.2,M,,,,,,62.8,110.7,M,,,,,,57.4,245.8,M,,,,,,116.8,298.4,M,,,,
24.3,139.1,L,,,,,,27,7.4,M,,,,,,30.3,12.8,M,,,,,,33.8,215.4,L,,,,,,36.5,68.9,L,,,,,,62.8,117.5,L,,,,,,57.4,258.6,L,,,,,,117.5,151.2,L,,,,
24.3,147.9,M,,,,,,27,24.3,M,,,,,,30.4,79,M,,,,,,33.8,219.4,M,,,,,,36.5,79.7,M,,,,,,63.5,2.7,L,,,,,,57.4,276.2,L,,,,,,117.5,172.2,S,,,,
24.3,196.5,M,,,,,,27,53.3,M,,,,,,30.4,120.9,M,,,,,,33.8,227.5,M,,,,,,36.5,85.8,S,,,,,,63.5,43.2,L,,,,,,58.1,6.1,L,,,,,,117.5,226.2,L,,,,
24.5,90.3,NC,,,,,,27,83.7,L,,,,,,30.4,126.9,L,,,,,,34.4,31.7,M,,,,,,36.5,88.5,M,,,,,,63.5,50,L,,,,,,58.7,23.6,M,,,,,,118.2,18.9,M,,,,
24.7,151.3,M,,,,,,27,110.1,M,,,,,,30.4,156.6,S,,,,,,34.4,62.1,M,,,,,,36.5,95.2,L,,,,,,63.5,93.2,M,,,,,,58.7,175.6,L,,,,,,118.2,116.8,M,,,,
24.7,175.1,M,,,,,,27,113.4,L,,,,,,30.4,166.8,M,,,,,,34.4,137.7,M,,,,,,36.5,106,M,,,,,,63.5,145.2,L,,,,,,58.7,211.3,L,,,,,,118.8,54,L,,,,
24.8,125.7,M,,,,,,27,136.4,L,,,,,,30.4,172.9,M,,,,,,34.4,151.2,M,,,,,,36.5,136.4,M,,,,,,63.5,158.7,M,,,,,,59.4,12.8,L,,,,,,118.8,64.1,M,,,,
25,14.2,L,,,,,,27.1,75.5,M,,,,,,30.4,189.1,M,,,,,,34.4,176.9,L,,,,,,36.5,189.1,S,,,,,,63.5,163.4,M,,,,,,59.4,106,S,,,,,,118.8,97.9,S,,,,
25,73.6,M,,,,,,27.7,20.3,M,,,,,,30.4,232.3,L,,,,,,34.4,201.9,L,,,,,,36.5,231.6,S,,,,,,64.1,55.4,L,,,,,,59.4,156,L,,,,,,120.2,71.6,L,,,,
25,122.9,M,,,,,,27.7,33.1,M,,,,,,30.4,235.6,L,,,,,,34.4,232.3,M,,,,,,36.9,141.5,M,,,,,,64.1,68.9,M,,,,,,59.4,161.4,M,,,,,,120.2,132.3,M,,,,
25,154.6,M,,,,,,27.7,42.5,L,,,,,,31.1,25.7,L,,,,,,34.4,235.6,M,,,,,,37.1,6.1,M,,,,,,64.1,130.3,M,,,,,,60.1,35.8,M,,,,,,120.9,33.1,M,,,,
25,167.4,M,,,,,,27.7,60.1,L,,,,,,31.1,37.8,L,,,,,,35,111.1,L,,,,,,37.1,25.7,M,,,,,,64.8,203.2,M,,,,,,60.1,75.6,M,,,,,,120.9,40.5,L,,,,
25,179.6,L,,,,,,27.7,102,M,,,,,,31.1,55.4,L,,,,,,35.1,49.3,L,,,,,,37.1,34.4,M,,,,,,64.8,208,M,,,,,,60.1,130.3,M,,,,,,120.9,83.7,L,,,,
25,187,M,,,,,,27.7,149.2,L,,,,,,31.1,83,M,,,,,,35.1,57.4,M,,,,,,37.1,38.5,L,,,,,,65.5,9.5,L,,,,,,60.1,166.1,L,,,,,,120.9,124.2,M,,,,
25,203.2,M,,,,,,27.7,158.7,L,,,,,,31.1,92.5,M,,,,,,35.1,86.4,M,,,,,,37.1,102,M,,,,,,65.5,27.7,L,,,,,,60.1,225.5,M,,,,,,120.9,198.5,L,,,,
25,212.7,M,,,,,,27.7,162,M,,,,,,31.1,100.6,L,,,,,,35.1,93.9,M,,,,,,37.1,128.3,L,,,,,,65.5,87.1,L,,,,,,60.8,66.8,NC,,,,,,120.9,220.1,M,,,,
25,225.5,L,,,,,,27.7,181.6,M,,,,,,31.1,185,M,,,,,,35.1,124.2,L,,,,,,37.1,165.4,L,,,,,,65.5,102,L,,,,,,60.8,96.6,L,,,,,,121.5,158,M,,,,
25,235.6,NC,,,,,,27.7,213.4,M,,,,,,31.1,224.2,M,,,,,,35.1,134.4,L,,,,,,37.1,169.5,L,,,,,,65.5,181,M,,,,,,60.8,136.4,M,,,,,,122.2,178.9,M,,,,
25.2,41.9,M,,,,,,27.7,216.1,M,,,,,,31.1,228.2,M,,,,,,35.1,170.1,M,,,,,,37.1,178.9,M,,,,,,65.5,212.7,M,,,,,,60.8,151.9,L,,,,,,122.2,257.3,M,,,,
25.3,156.8,M,,,,,,27.7,225.5,L,,,,,,31.7,18.2,M,,,,,,35.1,205.3,L,,,,,,37.1,193.1,M,,,,,,66.2,194.5,S,,,,,,60.8,264.7,S,,,,,,122.9,205.9,M,,,,
25.5,120,M,,,,,,28.1,228.8,L,,,,,,31.7,52,L,,,,,,35.5,97,M,,,,,,37.8,111.4,M,,,,,,66.8,16.9,L,,,,,,60.8,293.7,NC,,,,,,122.9,290.3,S,,,,
25.7,33.1,L,,,,,,28.3,90.1,M,,,,,,31.7,97.2,L,,,,,,35.8,41.9,L,,,,,,37.8,120.9,M,,,,,,66.8,60.1,M,,,,,,61.4,49.3,L,,,,,,123.6,282.2,M,,,,
25.7,64.8,L,,,,,,28.4,2.7,S,,,,,,31.7,110.1,M,,,,,,35.8,45.9,M,,,,,,37.8,150.6,M,,,,,,66.8,120.2,L,,,,,,61.4,54.7,L,,,,,,124.2,89.8,L,,,,
25.7,81,M,,,,,,28.4,46.6,L,,,,,,31.7,116.1,S,,,,,,35.8,81,L,,,,,,37.8,158.7,M,,,,,,66.8,174.9,L,,,,,,61.4,82.4,L,,,,,,124.2,212,M,,,,
25.7,98.6,L,,,,,,28.4,80.3,M,,,,,,31.7,150.6,L,,,,,,35.8,106.7,L,,,,,,37.8,207.3,S,,,,,,67.5,79,L,,,,,,62.1,62.1,M,,,,,,124.2,247.8,M,,,,
25.7,101.3,M,,,,,,28.4,116.1,M,,,,,,31.7,160,M,,,,,,35.8,116.8,M,,,,,,37.8,211.3,M,,,,,,67.5,126.3,M,,,,,,62.1,87.8,M,,,,,,124.9,114.1,L,,,,
25.7,108.7,L,,,,,,28.4,122.2,S,,,,,,31.7,177.6,M,,,,,,35.8,130.3,M,,,,,,37.8,226.9,L,,,,,,67.5,139.8,M,,,,,,62.1,110.7,M,,,,,,125.6,10.1,M,,,,
25.7,133.7,M,,,,,,28.4,127.6,L,,,,,,31.7,199.2,L,,,,,,35.8,181,L,,,,,,38.5,59.4,M,,,,,,67.5,149.9,M,,,,,,62.1,219.4,M,,,,,,125.6,97.2,M,,,,
25.7,141.8,M,,,,,,28.4,139.8,M,,,,,,31.7,208.6,M,,,,,,36.5,37.1,M,,,,,,38.5,76.3,M,,,,,,67.5,190.4,M,,,,,,62.8,121.5,S,,,,,,125.6,165.4,M,,,,
25.7,191.1,M,,,,,,28.4,167.4,L,,,,,,31.7,212.7,L,,,,,,36.5,53.3,L,,,,,,38.5,115.5,L,,,,,,68.2,21.6,M,,,,,,62.8,189.7,M,,,,,,126.3,232.9,M,,,,
25.7,206.6,M,,,,,,28.4,199.9,M,,,,,,31.7,220.8,M,,,,,,36.5,66.8,L,,,,,,38.5,173.5,M,,,,,,68.2,32.4,L,,,,,,62.8,200.5,M,,,,,,126.9,104.7,L,,,,
25.8,67.8,M,,,,,,28.5,131.2,M,,,,,,32.2,192.5,M,,,,,,36.5,73.6,L,,,,,,38.5,202.6,L,,,,,,68.2,39.2,L,,,,,,62.8,232.3,L,,,,,,127.6,139.8,M,,,,
26.3,2,M,,,,,,29,12.8,M,,,,,,32.4,68.9,L,,,,,,36.5,99.9,M,,,,,,38.5,222.8,L,,,,,,68.2,154.6,M,,,,,,62.8,288.3,M,,,,,,127.6,146.5,L,,,,
26.3,16.9,M,,,,,,29,16.9,M,,,,,,32.4,88.5,L,,,,,,36.5,153.3,M,,,,,,39.2,10.8,M,,,,,,68.2,165.4,M,,,,,,63.5,25,M,,,,,,127.6,191.1,M,,,,
26.3,27,M,,,,,,29,49.3,M,,,,,,32.4,107.4,M,,,,,,36.5,166.8,M,,,,,,39.2,14.9,M,,,,,,68.9,46.6,L,,,,,,63.5,182.3,L,,,,,,127.6,241.7,M,,,,
26.3,39.2,L,,,,,,29,56.7,M,,,,,,32.4,137.1,M,,,,,,36.5,191.1,S,,,,,,39.2,42.5,M,,,,,,68.9,106.7,M,,,,,,63.5,240.4,S,,,,,,127.6,261.3,S,,,,
26.3,47.3,M,,,,,,29,67.5,M,,,,,,32.4,143.8,M,,,,,,37.1,3.4,L,,,,,,39.2,49.3,M,,,,,,68.9,135,M,,,,,,63.5,247.8,M,,,,,,127.6,297.1,M,,,,
26.3,50,M,,,,,,29,95.9,L,,,,,,32.4,216.7,M,,,,,,37.1,23,M,,,,,,39.8,30.4,L,,,,,,68.9,185.7,L,,,,,,63.5,280.2,M,,,,,,128.3,17.6,M,,,,
26.3,58.7,M,,,,,,29,173.5,M,,,,,,32.9,124.8,M,,,,,,37.1,27.7,L,,,,,,39.8,54.7,L,,,,,,69.5,74.3,M,,,,,,63.5,298.4,M,,,,,,128.3,50,M,,,,
26.3,77,M,,,,,,29,196.5,M,,,,,,33.1,2.7,M,,,,,,37.1,89.8,M,,,,,,39.8,82.4,M,,,,,,69.5,82.4,M,,,,,,64.1,18.2,L,,,,,,128.3,173.5,M,,,,
26.3,87.1,L,,,,,,29,203.9,L,,,,,,33.1,9.5,L,,,,,,37.1,146.5,M,,,,,,39.8,91.8,M,,,,,,69.5,95.2,S,,,,,,64.1,38.5,L,,,,,,128.3,289.7,M,,,,
26.3,116.8,L,,,,,,29.1,29.4,M,,,,,,33.1,22.3,L,,,,,,37.1,158,M,,,,,,39.8,132.3,L,,,,,,69.5,113.4,M,,,,,,64.1,43.9,L,,,,,,129,26.3,L,,,,
26.3,131,M,,,,,,29.2,234.5,M,,,,,,33.1,29.7,M,,,,,,37.1,163.4,M,,,,,,39.8,154.6,M,,,,,,69.5,216.7,L,,,,,,64.1,102,M,,,,,,129,75.6,L,,,,
26.3,144.5,M,,,,,,29.7,9.5,L,,,,,,33.1,34.4,M,,,,,,37.1,213.4,L,,,,,,39.8,161.4,M,,,,,,70.2,12.2,L,,,,,,64.1,141.8,L,,,,,,129,183,M,,,,
26.3,170.8,M,,,,,,29.7,37.1,M,,,,,,33.1,59.4,M,,,,,,37.8,18.9,L,,,,,,39.8,183.7,M,,,,,,70.2,64.1,L,,,,,,64.1,195.1,L,,,,,,129,225.5,L,,,,
26.3,183,M,,,,,,29.7,105.3,L,,,,,,33.1,65.5,M,,,,,,37.8,113.4,M,,,,,,39.8,214.7,L,,,,,,70.2,170.8,M,,,,,,64.1,213.4,M,,,,,,129,274.1,M,,,,
26.3,220.1,M,,,,,,29.7,143.8,M,,,,,,33.8,6.8,M,,,,,,37.8,127.6,L,,,,,,39.8,218.8,M,,,,,,70.2,199.2,L,,,,,,64.1,228.2,S,,,,,,129.6,35.1,S,,,,
26.5,228.8,L,,,,,,29.7,153.3,M,,,,,,33.8,41.2,L,,,,,,37.8,195.1,M,,,,,,39.8,234.3,M,,,,,,70.9,26.3,M,,,,,,64.8,6.1,M,,,,,,130.3,61.4,L,,,,
26.7,104.7,M,,,,,,29.7,155.3,M,,,,,,33.8,45.2,M,,,,,,37.8,208.6,M,,,,,,40.5,23,L,,,,,,70.9,69.5,L,,,,,,64.8,32.4,M,,,,,,130.3,154.6,L,,,,
27,5.4,M,,,,,,29.7,192.4,M,,,,,,33.8,49.3,M,,,,,,37.8,222.1,M,,,,,,40.5,71.6,L,,,,,,70.9,116.8,M,,,,,,64.8,127.6,M,,,,,,131.7,43.2,L,,,,
27,8.1,L,,,,,,29.7,218.8,NC,,,,,,33.8,85.1,M,,,,,,38.5,10.8,L,,,,,,40.5,99.3,M,,,,,,70.9,145.8,M,,,,,,64.8,147.2,M,,,,,,131.7,132.3,M,,,,
27,20.9,L,,,,,,30,230.8,NC,,,,,,33.8,104,L,,,,,,38.5,32.4,M,,,,,,40.5,108.7,M,,,,,,70.9,158.7,M,,,,,,64.8,254.5,L,,,,,,131.7,250.5,L,,,,
27,44.5,M,,,,,,30.2,70.5,L,,,,,,33.8,113.4,L,,,,,,38.5,62.8,M,,,,,,40.5,125.6,M,,,,,,70.9,180.3,M,,,,,,64.8,272.1,M,,,,,,132.3,68.2,M,,,,
27,53.3,L,,,,,,30.2,111.7,L,,,,,,33.8,128.3,L,,,,,,38.5,77.6,L,,,,,,40.5,139.1,M,,,,,,71.6,5.4,M,,,,,,64.8,305.2,S,,,,,,132.3,118.2,M,,,,
27,111.4,M,,,,,,30.3,179.9,M,,,,,,33.8,182.3,M,,,,,,38.5,84.4,L,,,,,,40.5,142.5,M,,,,,,71.6,43.2,M,,,,,,65.5,78.3,L,,,,,,132.3,199.9,L,,,,
