Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
1.6,41.1,M,,,subject Id,AO001,,2.3,3.9,L,,,subject Id,AO001,,2.3,34.9,M,,,subject Id,AO001,,2.3,4.6,L,,,subject Id,AO001,,3.1,50.8,L,,,subject Id,AO001,,3.1,94.6,L,,,subject Id,AO001,,4.7,40.3,L,,,subject Id,AO001,,2.1,19,L,,,subject Id,AO001,,2.1,33.1,L,,,subject Id,AO001,,2.3,2.3,M,,,subject Id,AO001,,3.9,10.1,L,,,subject Id,AO001,,4.7,70.5,L,,,subject Id,AO001,,2.1,14.8,M,,,subject Id,AO001,,2.8,2.1,M,,,subject Id,AO001,,2.1,29.5,M,,,subject Id,AO001,,3.1,6.2,M,,,subject Id,AO001,,3.1,3.9,L,,,subject Id,AO001,,3.6,202.5,L,,,subject Id,AO001,,2.1,47.8,L,,,subject Id,AO001,,2.1,4.9,M,,,subject Id,AO001,,2.1,4.2,L,,,subject Id,AO001,,2.3,17.1,L,,,subject Id,AO001,,3.9,14,L,,,subject Id,AO001
1.6,47.3,L,,,Age (years),41,,2.3,16.3,L,,,Age (years),41,,2.3,47.3,L,,,Age (years),41,,2.3,17.7,L,,,Age (years),41,,3.1,92.4,L,,,Age (years),41,,3.1,110.8,L,,,Age (years),41,,4.7,82.2,M,,,Age (years),41,,2.1,55.6,L,,,Age (years),41,,2.1,51.4,M,,,Age (years),41,,2.3,36.4,M,,,Age (years),41,,3.9,17.8,L,,,Age (years),41,,4.7,258.9,M,,,Age (years),41,,2.1,27.4,L,,,Age (years),41,,2.8,28.8,L,,,Age (years),41,,2.8,41.5,L,,,Age (years),41,,3.1,24,S,,,Age (years),41,,3.1,134.1,L,,,Age (years),41,,3.6,226.8,L,,,Age (years),41,,2.3,63.5,L,,,Age (years),41,,2.1,49.2,M,,,Age (years),41,,2.8,21.1,L,,,Age (years),41,,2.3,41.1,M,,,Age (years),41,,3.9,129.4,L,,,Age (years),41
1.6,53.5,L,,,Eye,OD,,2.3,57.4,M,,,Eye,OD,,2.3,78.3,L,,,Eye,OD,,2.3,22.3,L,,,Eye,OD,,3.1,114,L,,,Eye,OD,,3.1,124,L,,,Eye,OD,,4.7,142.6,L,,,Eye,OD,,2.1,79.5,M,,,Eye,OD,,2.1,86.5,L,,,Eye,OD,,2.3,63.6,L,,,Eye,OD,,3.9,44.2,L,,,Eye,OD,,5.4,223.2,L,,,Eye,OD,,2.1,67.5,M,,,Eye,OD,,2.8,35.9,L,,,Eye,OD,,2.8,57.7,M,,,Eye,OD,,3.1,45.7,L,,,Eye,OD,,3.1,150.4,S,,,Eye,OD,,4.5,62.4,L,,,Eye,OD,,2.8,10.6,L,,,Eye,OD,,2.1,52.1,M,,,Eye,OD,,2.8,23.9,L,,,Eye,OD,,2.3,94.6,L,,,Eye,OD,,3.9,141.1,L,,,Eye,OD
1.6,62.8,M,,,Axial length (mm),24.5,,2.3,103.1,L,,,Axial length (mm),24.5,,2.3,82.2,L,,,Axial length (mm),24.5,,2.3,70.1,L,,,Axial length (mm),24.5,,3.1,127.8,L,,,Axial length (mm),24.5,,3.1,132.5,L,,,Axial length (mm),24.5,,4.7,175.9,M,,,Axial length (mm),24.5,,2.1,88.6,M,,,Axial length (mm),24.5,,2.1,99.2,M,,,Axial length (mm),24.5,,2.3,72.9,M,,,Axial length (mm),24.5,,3.9,76.7,L,,,Axial length (mm),24.5,,6.2,12.4,L,,,Axial length (mm),24.5,,2.8,45.7,L,,,Axial length (mm),24.5,,2.8,42.2,L,,,Axial length (mm),24.5,,3.5,37.3,M,,,Axial length (mm),24.5,,3.1,74.4,M,,,Axial length (mm),24.5,,3.1,272.8,L,,,Axial length (mm),24.5,,4.9,144.8,L,,,Axial length (mm),24.5,,2.8,34.5,L,,,Axial length (mm),24.5,,2.1,67.5,L,,,Axial length (mm),24.5,,3.5,16.2,L,,,Axial length (mm),24.5,,2.3,120.1,L,,,Axial length (mm),24.5,,3.9,151.1,L,,,Axial length (mm),24.5
1.6,133.3,L,,,Meridian,Temporal,,2.3,107,L,,,Meridian,Temporal,,2.3,88.4,S,,,Meridian,Temporal,,2.3,78.6,L,,,Meridian,Temporal,,3.1,177.9,L,,,Meridian,Temporal,,3.1,148.8,L,,,Meridian,Temporal,,4.7,203.8,L,,,Meridian,Temporal,,2.1,104.1,L,,,Meridian,Nasal,,2.1,148.4,M,,,Meridian,Nasal,,2.3,80.6,M,,,Meridian,Nasal,,3.9,103.1,L,,,Meridian,Nasal,,6.2,62,L,,,Meridian,Nasal,,2.8,61.9,L,,,Meridian,Superior,,3.5,8.4,L,,,Meridian,Superior,,3.5,48.5,L,,,Meridian,Superior,,3.1,80.6,L,,,Meridian,Superior,,3.9,263.5,L,,,Meridian,Superior,,4.9,286.6,L,,,Meridian,Superior,,2.8,40.8,L,,,Meridian,inferior,,3.5,19.7,M,,,Meridian,inferior,,3.5,42.2,L,,,Meridian,inferior,,2.3,141.1,L,,,Meridian,inferior,,3.9,213.1,L,,,Meridian,inferior
1.6,169.7,M,,,"Eccentricity (x,y) (deg)","(0.4,0)",,2.3,110.1,L,,,"Eccentricity (x,y) (deg)","(0.7,0)",,2.3,127.9,L,,,"Eccentricity (x,y) (deg)","(0.9,0)",,2.3,83.2,L,,,"Eccentricity (x,y) (deg)","(1.5,0)",,3.1,268.8,M,,,"Eccentricity (x,y) (deg)","(3.5,0)",,3.1,195.3,L,,,"Eccentricity (x,y) (deg)","(4.5,0)",,4.7,268.9,L,,,"Eccentricity (x,y) (deg)","(10,0)",,2.1,141.4,S,,,"Eccentricity (x,y) (deg)","(0.6,0)",,2.1,152.7,L,,,"Eccentricity (x,y) (deg)","(0.8,0)",,2.3,113.2,L,,,"Eccentricity (x,y) (deg)","(1.5,0)",,3.9,113.2,M,,,"Eccentricity (x,y) (deg)","(4,0)",,6.2,78.3,L,,,"Eccentricity (x,y) (deg)","(10,0)",,3.5,6.3,L,,,"Eccentricity (x,y) (deg)","(0,0.3)",,4.9,21.1,S,,,"Eccentricity (x,y) (deg)","(0,0.5)",,3.5,53.5,L,,,"Eccentricity (x,y) (deg)","(0,0.7)",,3.1,88.4,M,,,"Eccentricity (x,y) (deg)","(0,1.5)",,4.7,63.6,L,,,"Eccentricity (x,y) (deg)","(0,4)",,4.9,316.6,M,,,"Eccentricity (x,y) (deg)","(0,10)",,2.8,44.3,M,,,"Eccentricity (x,y) (deg)","(0,0.5)",,3.5,57,M,,,"Eccentricity (x,y) (deg)","(0,0.7)",,3.5,51.4,S,,,"Eccentricity (x,y) (deg)","(0,1)",,2.3,155.8,L,,,"Eccentricity (x,y) (deg)","(0,1.5)",,3.9,223.2,L,,,"Eccentricity (x,y) (deg)","(0,4)"
2.3,11.6,L,,,"Eccentricity (x,y) (mm)","(0.12,0)",,2.3,175.9,M,,,"Eccentricity (x,y) (mm)","(0.21,0)",,2.3,150.4,L,,,"Eccentricity (x,y) (mm)","(0.27,0)",,2.3,129.4,L,,,"Eccentricity (x,y) (mm)","(0.44,0)",,3.1,284.9,L,,,"Eccentricity (x,y) (mm)","(1.04,0)",,3.1,217,L,,,"Eccentricity (x,y) (mm)","(1.33,0)",,6.2,17.1,L,,,"Eccentricity (x,y) (mm)","(2.96,0)",,2.1,166.7,M,,,"Eccentricity (x,y) (mm)","(0.18,0)",,2.1,156.9,L,,,"Eccentricity (x,y) (mm)","(0.24,0)",,2.3,167.4,M,,,"Eccentricity (x,y) (mm)","(0.44,0)",,3.9,196.1,L,,,"Eccentricity (x,y) (mm)","(1.18,0)",,7.8,30.2,L,,,"Eccentricity (x,y) (mm)","(2.96,0)",,3.5,10.6,L,,,"Eccentricity (x,y) (mm)","(0,0.09)",,4.9,51.4,L,,,"Eccentricity (x,y) (mm)","(0,0.15)",,3.5,67.5,L,,,"Eccentricity (x,y) (mm)","(0,0.21)",,3.1,99.2,L,,,"Eccentricity (x,y) (mm)","(0,0.44)",,4.7,78.3,L,,,"Eccentricity (x,y) (mm)","(0,1.18)",,5.4,37.2,L,,,"Eccentricity (x,y) (mm)","(0,2.96)",,2.8,58.4,L,,,"Eccentricity (x,y) (mm)","(0,0.15)",,3.5,61.2,M,,,"Eccentricity (x,y) (mm)","(0,0.21)",,3.5,54.9,L,,,"Eccentricity (x,y) (mm)","(0,0.3)",,2.3,190.7,L,,,"Eccentricity (x,y) (mm)","(0,0.44)",,3.9,235.6,L,,,"Eccentricity (x,y) (mm)","(0,1.18)"
2.3,21.7,L,,,Retinal maginification factor (microns/deg),296.2,,2.3,190.7,L,,,Retinal maginification factor (microns/deg),296.2,,2.3,158.1,M,,,Retinal maginification factor (microns/deg),296.2,,2.3,161.7,L,,,Retinal maginification factor (microns/deg),296.2,,3.1,303.4,L,,,Retinal maginification factor (microns/deg),296.2,,3.1,231.7,M,,,Retinal maginification factor (microns/deg),296.2,,6.2,48.8,L,,,Retinal maginification factor (microns/deg),296.2,,2.7,147.7,L,,,Retinal maginification factor (microns/deg),296.2,,2.1,161.1,L,,,Retinal maginification factor (microns/deg),296.2,,2.3,183.7,L,,,Retinal maginification factor (microns/deg),296.2,,3.9,203.8,L,,,Retinal maginification factor (microns/deg),296.2,,7.9,153.5,S,,,Retinal maginification factor (microns/deg),296.2,,3.5,23.2,L,,,Retinal maginification factor (microns/deg),296.2,,4.9,56.3,M,,,Retinal maginification factor (microns/deg),296.2,,4.2,3.5,L,,,Retinal maginification factor (microns/deg),296.2,,3.1,252.7,M,,,Retinal maginification factor (microns/deg),296.2,,5.4,21.7,L,,,Retinal maginification factor (microns/deg),296.2,,5.4,176,L,,,Retinal maginification factor (microns/deg),296.2,,2.8,68.2,L,,,Retinal maginification factor (microns/deg),296.2,,4.2,24.6,S,,,Retinal maginification factor (microns/deg),296.2,,3.5,64,L,,,Retinal maginification factor (microns/deg),296.2,,2.3,196.1,L,,,Retinal maginification factor (microns/deg),296.2,,4.7,30.2,L,,,Retinal maginification factor (microns/deg),296.2
2.3,99.2,S,,,FOV (mm),0.08 x 0.19,,3.1,12.4,L,,,FOV (mm),0.08 x 0.19,,2.3,177.5,L,,,FOV (mm),0.08 x 0.19,,3.1,49.3,L,,,FOV (mm),0.17 x 0.19,,3.1,333.5,L,,,FOV (mm),0.28 x 0.35,,3.9,51.9,L,,,FOV (mm),0.37 x 0.29,,6.2,57.4,L,,,FOV (mm),0.41 x 0.33,,2.8,9.8,M,,,FOV (mm),0.07 x 0.18,,2.1,164.6,L,,,FOV (mm),0.07 x 0.18,,2.3,193.8,L,,,FOV (mm),0.25 x 0.24,,3.9,236.4,M,,,FOV (mm),0.39 x 0.28,,8.5,92.2,L,,,FOV (mm),0.35 x 0.28,,3.5,39.4,M,,,FOV (mm),0.18 x 0.07,,4.9,60.5,L,,,FOV (mm),0.18 x 0.07,,4.2,10.6,L,,,FOV (mm),0.18 x 0.07,,3.9,14.7,L,,,FOV (mm),0.39 x 0.3,,5.4,93,L,,,FOV (mm),0.39 x 0.3,,5.8,118.3,L,,,FOV (mm),0.42 x 0.34,,3.5,18.3,S,,,FOV (mm),0.18 x 0.07,,4.2,29.5,M,,,FOV (mm),0.18 x 0.07,,4.2,27.4,L,,,FOV (mm),0.18 x 0.07,,2.3,212.4,M,,,FOV (mm),0.35 x 0.24,,4.7,186,M,,,FOV (mm),0.37 x 0.26
2.3,111.6,M,,,L/M ratio,2.1,,3.1,45,M,,,L/M ratio,1.9,,3.1,8.5,L,,,L/M ratio,2,,3.1,54.7,S,,,L/M ratio,2.2,,3.9,121.7,L,,,L/M ratio,3.1,,3.9,141.1,M,,,L/M ratio,2.8,,6.5,67.5,S,,,L/M ratio,2.8,,2.8,25.3,L,,,L/M ratio,2,,2.8,83,L,,,L/M ratio,1.8,,3.1,108.5,S,,,L/M ratio,2.5,,3.9,262.7,M,,,L/M ratio,2.4,,8.5,144.2,L,,,L/M ratio,2.8,,3.5,49.2,L,,,L/M ratio,1.9,,5.6,12.7,S,,,L/M ratio,1.9,,4.2,18.3,L,,,L/M ratio,1.8,,3.9,67.4,L,,,L/M ratio,2.6,,5.4,213.9,L,,,L/M ratio,2.3,,5.8,304.4,L,,,L/M ratio,2.1,,3.5,21.8,M,,,L/M ratio,2,,4.9,14.8,L,,,L/M ratio,2.3,,4.2,30.2,L,,,L/M ratio,2.1,,3.1,12.4,M,,,L/M ratio,2.4,,5.4,4.7,L,,,L/M ratio,2.9
