Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
15.7,77.8,M,,,,,,18.9,54.7,L,,,,,,21.6,90.2,L,,,,,,24.8,164.7,L,,,,,,26.8,134.7,L,,,,,,30.1,15.7,L,,,,,,32.7,97.4,L,,,,,,57.5,228.2,L,,,,,,120.9,7.2,L,,,,,,14.5,22,M,,,,,,15.6,171.3,L,,,,,,18.2,74.3,M,,,,,,18.2,225.8,L,,,,,,43.9,127.7,M,,,,,,108.1,188.5,M,,,,,,52.8,60.6,L,,,,,,63.2,43.6,L,,,,,,77.5,52.8,M,,,,,,34.6,141.9,L,,,,,,64.7,245.8,L,,,,,,100.7,258.2,S,,,,,,42.3,13.7,M,,,,,,48.9,35.8,L,,,,,,60.6,23.5,L,,,,,,35.3,94.1,L,,,,,,71.2,212.8,L,,,,,,127.5,107.2,L,,,,
15.7,93.5,M,,,,,,18.9,67.1,L,,,,,,21.6,98.1,S,,,,,,24.8,168.7,L,,,,,,27.5,79.8,L,,,,,,30.1,94.1,M,,,,,,33.3,11.1,L,,,,,,58.2,121.6,L,,,,,,120.9,182.4,L,,,,,,14.5,95.4,L,,,,,,15.6,181.8,M,,,,,,18.2,116.6,M,,,,,,18.7,10,L,,,,,,44.3,99,M,,,,,,108.1,198.5,L,,,,,,53.4,2,M,,,,,,64.5,31.9,M,,,,,,78.2,20.8,L,,,,,,34.6,149.7,S,,,,,,65.1,64.7,L,,,,,,101.3,25.5,M,,,,,,42.3,22.8,L,,,,,,49.5,3.3,M,,,,,,60.6,44.3,L,,,,,,35.3,120.3,L,,,,,,71.7,154.2,M,,,,,,128.8,41.2,L,,,,
15.7,113.1,L,,,,,,18.9,71.7,L,,,,,,21.6,117.7,M,,,,,,24.8,172.6,L,,,,,,27.5,83.7,L,,,,,,30.1,98.1,S,,,,,,33.3,78.4,L,,,,,,58.8,49,L,,,,,,121.6,196.8,M,,,,,,15,6.5,L,,,,,,15.6,192.8,M,,,,,,18.2,119.9,M,,,,,,18.7,14.3,S,,,,,,44.3,111.6,S,,,,,,108.6,63.4,M,,,,,,53.4,5.2,M,,,,,,64.5,38.4,M,,,,,,78.2,44.3,L,,,,,,35.3,26.1,M,,,,,,65.1,94.2,L,,,,,,101.3,200,L,,,,,,42.3,48.2,M,,,,,,49.5,7.3,L,,,,,,61.2,12.6,L,,,,,,35.3,122.9,L,,,,,,72.1,137.7,L,,,,,,128.8,120.3,L,,,,
15.7,137.9,L,,,,,,18.9,121.8,L,,,,,,21.6,153,L,,,,,,24.8,190.2,L,,,,,,27.5,109.8,L,,,,,,30.1,122.9,L,,,,,,33.3,119.6,L,,,,,,58.8,143.2,L,,,,,,122.9,188.9,S,,,,,,15,15,M,,,,,,16,96.4,L,,,,,,18.2,132.9,M,,,,,,18.7,75.1,M,,,,,,44.7,119,L,,,,,,109.4,126.4,M,,,,,,53.4,24.8,M,,,,,,64.5,60.6,L,,,,,,78.2,60.6,M,,,,,,35.3,43.8,L,,,,,,65.1,110.3,M,,,,,,101.3,212.5,M,,,,,,43,11.1,L,,,,,,49.5,16.9,M,,,,,,61.2,59.3,L,,,,,,36,32,M,,,,,,72.1,244.1,M,,,,,,128.8,130.7,S,,,,
15.7,171.3,M,,,,,,19,88.1,L,,,,,,22.2,46.4,M,,,,,,25.5,3.9,M,,,,,,27.5,124.2,L,,,,,,30.1,136,M,,,,,,33.3,139.9,M,,,,,,58.8,158.2,L,,,,,,123.6,77.1,M,,,,,,15,18.2,M,,,,,,16.2,23.8,M,,,,,,18.2,163.5,M,,,,,,18.7,116.8,L,,,,,,44.7,140.3,M,,,,,,110.3,162,L,,,,,,53.4,51.5,M,,,,,,65.8,13,L,,,,,,78.8,13.7,L,,,,,,35.3,79.8,M,,,,,,65.1,163.3,L,,,,,,102.6,7.2,L,,,,,,43,54.1,L,,,,,,50.2,43.6,M,,,,,,61.9,16.3,L,,,,,,36,87.6,M,,,,,,72.5,3.5,M,,,,,,129.4,170.6,L,,,,
15.8,109,L,,,,,,19,100.3,M,,,,,,22.2,50.3,L,,,,,,25.5,55.6,L,,,,,,27.5,192.2,L,,,,,,30.7,36.6,L,,,,,,33.3,159.5,L,,,,,,58.8,192.9,L,,,,,,123.6,221.6,L,,,,,,15,37.1,L,,,,,,16.3,13.7,L,,,,,,18.2,177.8,L,,,,,,18.7,120.3,S,,,,,,44.7,197.2,M,,,,,,110.7,96.4,L,,,,,,54.1,37.8,M,,,,,,65.8,22.8,L,,,,,,78.8,48.2,M,,,,,,35.3,154.9,L,,,,,,65.6,205.4,S,,,,,,102.6,236,L,,,,,,43,62.5,M,,,,,,50.2,47.6,M,,,,,,62.1,40.1,L,,,,,,36,170.6,S,,,,,,72.5,31.7,M,,,,,,129.4,182.4,L,,,,
16,141.7,L,,,,,,19.5,37.1,M,,,,,,22.2,83.7,L,,,,,,25.5,139.2,M,,,,,,27.5,195.5,L,,,,,,30.7,41.2,L,,,,,,34,34.6,L,,,,,,58.8,211.8,S,,,,,,123.6,232.1,M,,,,,,15,57.3,M,,,,,,16.3,43,L,,,,,,18.9,27.4,M,,,,,,18.7,150.7,M,,,,,,44.7,241.9,M,,,,,,110.7,229.3,L,,,,,,54.2,21.2,M,,,,,,65.8,28,L,,,,,,78.8,56.7,M,,,,,,36,6.5,L,,,,,,65.6,232.8,L,,,,,,103.9,90.2,M,,,,,,43.1,20.1,M,,,,,,50.2,58.6,M,,,,,,62.1,54.3,L,,,,,,36.6,51.6,L,,,,,,72.5,70.4,L,,,,,,130.1,80.4,S,,,,
16,145.1,L,,,,,,19.5,84,L,,,,,,22.2,156.9,L,,,,,,25.5,179.8,L,,,,,,28.1,99.4,L,,,,,,30.7,66,L,,,,,,34,105.3,L,,,,,,59.5,57.5,L,,,,,,125.5,60.8,M,,,,,,15,72.3,M,,,,,,16.3,68.4,M,,,,,,18.9,65.1,L,,,,,,19.1,5.6,L,,,,,,45.2,153.7,L,,,,,,111.6,13.5,L,,,,,,54.7,17.6,M,,,,,,65.8,49.5,L,,,,,,80.1,5.2,L,,,,,,36,73.2,L,,,,,,66,41.3,M,,,,,,104.6,160.2,S,,,,,,43.2,31.7,L,,,,,,50.8,24.8,M,,,,,,63.2,2,L,,,,,,36.6,145.1,L,,,,,,72.5,196.7,L,,,,,,130.7,142.5,L,,,,
16.3,21.6,L,,,,,,19.5,94.5,M,,,,,,22.9,30.7,L,,,,,,25.5,187,M,,,,,,28.1,130.7,L,,,,,,30.7,82.4,S,,,,,,34,154.9,M,,,,,,59.5,92.8,L,,,,,,126.2,164.7,S,,,,,,15,84.7,M,,,,,,16.3,71.7,M,,,,,,18.9,80.8,L,,,,,,19.1,25.2,M,,,,,,45.2,220.6,L,,,,,,111.6,26.5,L,,,,,,54.7,34.5,L,,,,,,67.1,4.6,M,,,,,,80.6,28.5,L,,,,,,36,164.1,L,,,,,,66,153.7,L,,,,,,105.3,75.2,M,,,,,,43.6,40.4,L,,,,,,50.8,39.7,M,,,,,,63.2,5.9,L,,,,,,36.6,176.5,M,,,,,,73.4,183.7,L,,,,,,131.4,5.2,M,,,,
16.3,32,M,,,,,,19.5,107.5,L,,,,,,22.9,54.9,L,,,,,,26.1,11.8,L,,,,,,28.8,7.8,L,,,,,,30.7,86.9,L,,,,,,34.6,46.4,L,,,,,,59.5,183.7,L,,,,,,126.8,213.1,L,,,,,,15,88.6,M,,,,,,16.3,84,L,,,,,,18.9,100.3,M,,,,,,19.1,158.1,S,,,,,,45.6,236.7,L,,,,,,111.6,141.6,L,,,,,,54.7,54.7,S,,,,,,67.1,16.9,M,,,,,,80.8,35.8,L,,,,,,36,196.8,M,,,,,,66.4,8.7,L,,,,,,105.9,137.3,M,,,,,,44.2,45.2,L,,,,,,50.8,52.1,L,,,,,,63.2,21.5,L,,,,,,36.6,181.1,M,,,,,,73.4,237.6,M,,,,,,131.4,15.7,L,,,,
16.3,90.2,M,,,,,,19.5,114,M,,,,,,22.9,101.3,M,,,,,,26.1,59.5,L,,,,,,28.8,28.1,L,,,,,,31.4,20.3,L,,,,,,35.2,18.7,L,,,,,,60.1,71.3,M,,,,,,126.8,240.6,L,,,,,,15,120.5,L,,,,,,16.3,115.3,M,,,,,,18.9,106.8,S,,,,,,19.1,187.2,L,,,,,,46,208.5,L,,,,,,112.1,207.6,L,,,,,,54.7,63.2,L,,,,,,67.1,41.7,S,,,,,,81.4,41.7,L,,,,,,36.6,96.8,L,,,,,,66.4,119.9,M,,,,,,105.9,181.7,M,,,,,,44.3,7.8,L,,,,,,50.8,62.5,M,,,,,,63.2,28.7,M,,,,,,36.6,194.2,M,,,,,,73.8,12.6,L,,,,,,132.1,68,M,,,,
16.3,116.4,L,,,,,,19.5,117.3,M,,,,,,22.9,109.2,L,,,,,,26.1,72.6,L,,,,,,28.8,52.3,M,,,,,,32,75.8,S,,,,,,35.3,66,L,,,,,,60.1,99.4,M,,,,,,127.5,31.4,M,,,,,,15,152.4,L,,,,,,16.3,174.6,L,,,,,,18.9,129.6,L,,,,,,19.5,81.2,M,,,,,,46.5,38.7,L,,,,,,112.5,112.9,M,,,,,,55,17.2,M,,,,,,67.1,46.3,L,,,,,,82.1,18.2,L,,,,,,36.6,204.6,L,,,,,,67.8,79,M,,,,,,105.9,251,M,,,,,,44.3,28.7,L,,,,,,51.1,10.7,M,,,,,,63.2,36.5,L,,,,,,37.3,3.3,M,,,,,,73.8,40.4,M,,,,,,133.4,56.2,L,,,,
16.3,147.7,L,,,,,,19.5,139.4,S,,,,,,22.9,148.4,L,,,,,,26.1,76.5,L,,,,,,28.8,56.2,L,,,,,,32,110.5,L,,,,,,35.3,145.1,L,,,,,,60.1,108.5,L,,,,,,127.5,115.7,L,,,,,,15,183.1,L,,,,,,16.3,185.7,L,,,,,,18.9,139.4,L,,,,,,19.5,128.1,M,,,,,,46.5,54.3,M,,,,,,112.9,169.8,L,,,,,,55.4,41.7,M,,,,,,67.8,34.5,L,,,,,,82.1,50.8,S,,,,,,37.3,14.4,L,,,,,,67.8,101.6,M,,,,,,107.2,17,L,,,,,,44.3,51.5,M,,,,,,51.5,28.7,S,,,,,,63.2,50.8,L,,,,,,37.3,9.8,M,,,,,,73.8,172.9,L,,,,,,134,98.7,M,,,,
16.3,151,L,,,,,,19.5,154.4,L,,,,,,22.9,188.9,M,,,,,,26.1,84.3,L,,,,,,28.8,66.7,L,,,,,,32,115.1,M,,,,,,35.3,150.4,L,,,,,,60.1,115.7,S,,,,,,127.5,157.6,L,,,,,,15,191.5,L,,,,,,16.8,125.3,L,,,,,,18.9,187.6,L,,,,,,20,95.5,L,,,,,,46.5,171.6,L,,,,,,113.4,55.6,M,,,,,,56,9.1,S,,,,,,67.8,53.4,L,,,,,,82.1,63.8,L,,,,,,37.3,20.9,M,,,,,,67.8,171.6,L,,,,,,107.2,37.9,M,,,,,,44.3,57.3,L,,,,,,51.5,31.9,M,,,,,,63.8,10.4,M,,,,,,37.3,46.4,L,,,,,,73.8,205.4,L,,,,,,134,163.4,S,,,,
16.3,178.5,L,,,,,,19.8,132.5,M,,,,,,22.9,192.2,M,,,,,,26.1,90.9,M,,,,,,28.8,185.7,M,,,,,,32,158.2,L,,,,,,36,15.7,L,,,,,,60.8,129.4,L,,,,,,127.5,174.6,L,,,,,,15.1,92.2,L,,,,,,16.9,112.1,M,,,,,,19.5,9.1,M,,,,,,20,205.9,L,,,,,,46.5,213.7,M,,,,,,113.4,154.6,M,,,,,,56,13,L,,,,,,67.8,63.8,M,,,,,,82.7,23.5,L,,,,,,37.3,136.6,L,,,,,,68.2,221.5,M,,,,,,107.9,122.9,M,,,,,,44.9,16.9,M,,,,,,52.1,20.8,M,,,,,,64.5,31.3,S,,,,,,37.3,65.4,L,,,,,,74.7,64.7,M,,,,,,134.7,234,L,,,,
16.6,11.8,L,,,,,,19.9,184.8,L,,,,,,23.5,2,S,,,,,,26.1,106.6,M,,,,,,29.4,15.7,L,,,,,,32,167.4,L,,,,,,36,30.1,M,,,,,,61.5,77.1,S,,,,,,128.1,126.8,L,,,,,,15.6,34.5,M,,,,,,16.9,161.6,L,,,,,,19.5,47.6,L,,,,,,20,239.7,M,,,,,,46.9,191.1,S,,,,,,115.5,74.7,S,,,,,,56,30.6,L,,,,,,69.1,9.1,M,,,,,,82.7,45.6,L,,,,,,37.9,85,S,,,,,,68.2,240.2,S,,,,,,108.5,51.6,L,,,,,,45,2.6,L,,,,,,52.1,35.8,M,,,,,,64.5,46.9,L,,,,,,37.3,136,M,,,,,,75.6,56.9,L,,,,,,136.6,32.7,L,,,,
16.6,121.6,L,,,,,,20.2,12.4,M,,,,,,23.5,26.8,L,,,,,,26.8,43.8,M,,,,,,29.4,62.8,L,,,,,,32.7,12.4,M,,,,,,36,40.5,L,,,,,,61.5,149.1,M,,,,,,128.8,205.9,S,,,,,,15.6,69.7,M,,,,,,16.9,164.8,S,,,,,,19.5,54.7,M,,,,,,20.4,31.7,M,,,,,,47.3,16.1,L,,,,,,116.4,46.9,L,,,,,,56.7,26.7,L,,,,,,69.1,26.1,M,,,,,,83.4,11.7,S,,,,,,37.9,102.6,L,,,,,,68.6,33,L,,,,,,108.5,111.8,L,,,,,,45,25.4,M,,,,,,52.8,2,M,,,,,,65.1,13.7,M,,,,,,37.3,156.9,M,,,,,,76,86.9,L,,,,,,137.9,120.3,M,,,,
17,37.9,M,,,,,,20.2,63.8,M,,,,,,23.5,34.6,L,,,,,,26.8,94.8,L,,,,,,29.4,71.3,M,,,,,,32.7,33.3,L,,,,,,36,73.9,L,,,,,,61.5,173.2,L,,,,,,129.4,40.5,M,,,,,,15.6,101,M,,,,,,16.9,189.6,L,,,,,,19.5,70.4,M,,,,,,20.4,47.8,M,,,,,,47.3,177.6,M,,,,,,117.3,215,L,,,,,,57.3,48.9,L,,,,,,69.1,30.6,L,,,,,,83.4,54.7,L,,,,,,37.9,128.1,L,,,,,,68.6,70.8,L,,,,,,108.5,194.2,L,,,,,,45,37.1,S,,,,,,52.8,13.7,M,,,,,,65.1,25.4,M,,,,,,37.9,13.7,L,,,,,,76.4,228,M,,,,,,138.6,22.2,L,,,,
17,74.3,L,,,,,,20.2,80.8,S,,,,,,23.5,120.3,M,,,,,,26.8,118.3,M,,,,,,29.4,95.4,L,,,,,,32.7,60.1,M,,,,,,36,101.3,L,,,,,,61.5,242.5,M,,,,,,129.4,100.7,L,,,,,,15.6,112.1,M,,,,,,17.5,90.2,L,,,,,,19.5,89.9,M,,,,,,20.4,87.7,L,,,,,,47.3,228.9,L,,,,,,117.7,6.5,L,,,,,,57.3,60.6,M,,,,,,69.1,60.6,M,,,,,,83.4,58.6,M,,,,,,37.9,173.2,M,,,,,,69.1,56.9,S,,,,,,110.5,62.1,L,,,,,,45.6,21.5,M,,,,,,52.8,55.4,L,,,,,,65.8,43,M,,,,,,37.9,22.2,L,,,,,,76.9,47.8,M,,,,,,138.6,111.1,M,,,,
17,127.5,M,,,,,,20.2,97.7,M,,,,,,23.5,130.1,L,,,,,,26.8,153.6,M,,,,,,29.4,151,L,,,,,,32.7,102,M,,,,,,36,125.5,M,,,,,,62.1,28.1,L,,,,,,130.1,17.7,M,,,,,,15.6,117.9,M,,,,,,17.6,9.8,M,,,,,,19.5,103.6,L,,,,,,20.4,91.2,S,,,,,,48.2,65.1,M,,,,,,117.7,190.7,L,,,,,,58,4.6,L,,,,,,70.4,38.4,L,,,,,,84,2,L,,,,,,37.9,177.8,L,,,,,,69.1,145.1,S,,,,,,111.1,146.4,M,,,,,,45.6,33.9,M,,,,,,53.4,4.6,L,,,,,,65.8,54.1,L,,,,,,37.9,104.6,L,,,,,,76.9,114.2,L,,,,,,138.6,130.7,L,,,,
17,130.1,M,,,,,,20.2,110.7,M,,,,,,23.5,137.9,M,,,,,,26.8,160.8,L,,,,,,29.4,158.9,L,,,,,,32.7,105.9,M,,,,,,36,130.1,M,,,,,,62.1,37.9,M,,,,,,130.1,77.1,M,,,,,,15.6,169.4,M,,,,,,17.6,20.8,L,,,,,,19.5,110.1,L,,,,,,20.4,106,L,,,,,,48.2,85.6,M,,,,,,118.1,20,L,,,,,,58,23.5,M,,,,,,71,13.7,L,,,,,,84,31.3,M,,,,,,38.6,91.5,L,,,,,,69.5,177.2,S,,,,,,111.1,170,L,,,,,,45.6,59.9,L,,,,,,53.4,7.8,S,,,,,,66.4,3.3,L,,,,,,37.9,109.8,L,,,,,,77.3,126.8,M,,,,,,139.2,77.8,M,,,,
17,154.3,L,,,,,,20.2,158.3,L,,,,,,23.5,175.2,L,,,,,,27.5,17,L,,,,,,29.4,174.6,L,,,,,,32.7,147.7,L,,,,,,36,136,L,,,,,,62.1,84.3,L,,,,,,130.7,147.7,L,,,,,,15.8,125.6,M,,,,,,17.6,33.2,M,,,,,,19.5,157,M,,,,,,20.4,146.4,M,,,,,,48.2,163.7,L,,,,,,119,122.5,M,,,,,,58,37.8,M,,,,,,71,19.5,L,,,,,,84.7,6.5,M,,,,,,38.6,114.4,M,,,,,,69.9,213.7,L,,,,,,111.8,211.8,M,,,,,,46.3,11.1,L,,,,,,53.4,45.6,M,,,,,,66.4,17.6,M,,,,,,37.9,116.4,L,,,,,,77.3,162.9,L,,,,,,139.2,207.2,L,,,,
17,158.2,M,,,,,,20.2,190.9,L,,,,,,23.5,179.1,L,,,,,,27.5,48.4,S,,,,,,30.1,24.2,L,,,,,,33.3,53.6,L,,,,,,36,163.4,M,,,,,,62.1,166.1,L,,,,,,132.7,53,M,,,,,,15.9,54.7,M,,,,,,17.6,52.8,L,,,,,,19.5,180.5,M,,,,,,20.4,165,L,,,,,,48.6,46.5,L,,,,,,119,132,L,,,,,,58,52.8,L,,,,,,71,44.3,L,,,,,,84.7,15,L,,,,,,38.6,122.9,M,,,,,,70.4,182,M,,,,,,111.8,226.9,M,,,,,,46.3,42.9,L,,,,,,54.1,59.3,M,,,,,,66.4,58,L,,,,,,38.6,39.9,L,,,,,,77.7,20,S,,,,,,139.2,219,L,,,,
17,174.6,L,,,,,,20.6,135.9,M,,,,,,24.1,17,L,,,,,,27.5,132.7,M,,,,,,30.1,167.4,M,,,,,,33.3,119,L,,,,,,36,173.9,L,,,,,,62.8,154.3,L,,,,,,133.4,194.8,L,,,,,,15.9,132.1,L,,,,,,17.6,108.1,L,,,,,,20.2,2.6,L,,,,,,20.4,221.9,L,,,,,,48.6,242.3,M,,,,,,119,183.7,M,,,,,,58.6,19.5,L,,,,,,71,48.2,L,,,,,,84.7,38.4,M,,,,,,38.6,187.6,M,,,,,,70.8,22.1,M,,,,,,112.4,26.8,L,,,,,,46.3,48.2,L,,,,,,54.6,17.2,L,,,,,,67.1,7.2,M,,,,,,38.6,98.7,L,,,,,,78.2,246.3,M,,,,,,139.9,46.4,L,,,,
17,185,M,,,,,,20.8,7.8,M,,,,,,24.2,114.4,L,,,,,,27.5,175.9,L,,,,,,30.1,180.4,L,,,,,,33.3,153,L,,,,,,36.6,2,L,,,,,,63.4,8.5,M,,,,,,134,109.2,L,,,,,,15.9,180.1,M,,,,,,17.6,146.6,L,,,,,,20.2,20.2,L,,,,,,20.8,21.7,L,,,,,,49.1,129,L,,,,,,119,234.1,S,,,,,,58.6,44.3,L,,,,,,71.7,4.6,L,,,,,,85.3,27.4,S,,,,,,39.2,39.2,L,,,,,,70.8,87.3,L,,,,,,113.1,158.2,L,,,,,,46.3,54.1,M,,,,,,54.7,49.5,L,,,,,,67.1,39.1,L,,,,,,38.6,128.1,M,,,,,,78.6,95.1,L,,,,,,140.6,88.9,L,,,,
17.7,4.6,M,,,,,,20.8,18.2,L,,,,,,24.2,141.9,M,,,,,,27.5,194.2,M,,,,,,30.7,19.6,M,,,,,,33.3,163.4,L,,,,,,36.6,25.5,S,,,,,,63.4,20.3,L,,,,,,134,221.6,L,,,,,,16,146.3,M,,,,,,17.6,159,L,,,,,,20.2,31.3,L,,,,,,20.8,35.6,L,,,,,,49.9,5.6,M,,,,,,119.4,112.5,L,,,,,,59.3,15.6,L,,,,,,71.7,56.7,L,,,,,,85.3,62.5,L,,,,,,39.2,51,L,,,,,,70.8,127.3,M,,,,,,113.8,130.7,M,,,,,,46.3,63.2,L,,,,,,55.4,22.8,L,,,,,,67.8,35.2,M,,,,,,38.6,152.3,L,,,,,,78.6,178.1,M,,,,,,141.9,176.5,L,,,,
17.7,17.7,L,,,,,,20.8,22.1,M,,,,,,24.8,38.6,L,,,,,,28.1,7.8,L,,,,,,30.7,75.2,S,,,,,,33.3,184.4,L,,,,,,36.6,55.6,L,,,,,,64.1,200,L,,,,,,136,69.3,M,,,,,,16,166.5,L,,,,,,17.6,168.7,M,,,,,,20.2,61.2,L,,,,,,20.8,59.1,L,,,,,,49.9,75.1,M,,,,,,120.3,29.5,M,,,,,,59.3,33.2,L,,,,,,71.7,64.5,M,,,,,,86.6,21.5,M,,,,,,39.2,68,M,,,,,,70.8,248,M,,,,,,115.1,86.9,L,,,,,,47.3,19.1,M,,,,,,55.4,26.7,L,,,,,,67.8,49.5,S,,,,,,39.2,190.2,M,,,,,,78.6,219.8,S,,,,,,142.5,62.8,M,,,,
17.7,45.1,M,,,,,,20.8,25.4,L,,,,,,24.8,42.5,M,,,,,,28.1,28.1,L,,,,,,30.7,91.5,L,,,,,,34,7.8,L,,,,,,36.6,62.1,M,,,,,,64.1,234,L,,,,,,136.6,12.4,L,,,,,,16.2,148.8,M,,,,,,17.6,177.8,M,,,,,,20.2,123.1,L,,,,,,20.8,132,M,,,,,,49.9,122.5,L,,,,,,120.3,39.1,L,,,,,,59.3,57.3,L,,,,,,72.3,22.1,L,,,,,,86.6,42.3,M,,,,,,39.2,145.8,L,,,,,,71.2,188.5,L,,,,,,115.1,249.1,M,,,,,,47.6,8.5,M,,,,,,55.4,33.2,L,,,,,,68.4,11.1,L,,,,,,39.9,83.7,L,,,,,,79.5,240.2,M,,,,,,143.2,39.2,S,,,,
17.7,51,L,,,,,,20.8,28.7,L,,,,,,24.8,58.8,M,,,,,,28.1,103.3,M,,,,,,30.7,107.2,M,,,,,,34,92.2,M,,,,,,36.6,81.7,S,,,,,,64.7,136.6,L,,,,,,136.6,61.5,L,,,,,,16.3,66.4,S,,,,,,18.2,6.5,L,,,,,,20.2,173.9,L,,,,,,20.8,169.4,L,,,,,,49.9,146.4,L,,,,,,120.3,66.9,M,,,,,,59.9,40.4,L,,,,,,73,32.6,M,,,,,,86.8,49.7,M,,,,,,39.2,183,L,,,,,,71.7,111.6,L,,,,,,115.7,183,L,,,,,,47.6,30.6,L,,,,,,55.4,38.4,M,,,,,,68.4,15,L,,,,,,40.5,17.7,L,,,,,,79.9,26.5,L,,,,,,143.8,101.3,L,,,,
17.7,64.7,L,,,,,,20.8,57.3,M,,,,,,24.8,62.1,L,,,,,,28.1,110.5,L,,,,,,30.7,119.6,L,,,,,,34,126.8,M,,,,,,36.6,90.2,M,,,,,,64.7,207.9,M,,,,,,137.3,161.5,M,,,,,,16.3,78.2,L,,,,,,18.2,26.7,M,,,,,,20.8,76.9,M,,,,,,20.8,179.8,L,,,,,,49.9,186.3,L,,,,,,120.7,59.5,M,,,,,,60.6,7.2,L,,,,,,73.6,8.5,L,,,,,,87.3,57.3,M,,,,,,39.2,192.2,M,,,,,,71.7,134.6,L,,,,,,115.7,239.3,L,,,,,,47.6,39.7,L,,,,,,55.4,41.7,S,,,,,,68.4,21.5,L,,,,,,40.5,92.8,M,,,,,,79.9,78.2,M,,,,,,144.5,11.8,L,,,,
17.7,84.3,S,,,,,,20.8,76.9,L,,,,,,24.8,66.7,S,,,,,,28.1,114.4,L,,,,,,30.7,137.9,M,,,,,,34,180.4,M,,,,,,37.3,8.5,M,,,,,,65.4,68.6,M,,,,,,137.9,170,L,,,,,,16.3,81.4,M,,,,,,18.2,39.7,M,,,,,,20.8,83.4,L,,,,,,20.8,215.9,L,,,,,,50.4,96,S,,,,,,120.7,102.5,M,,,,,,60.6,30,M,,,,,,73.6,16.3,L,,,,,,88.6,33.9,M,,,,,,39.9,109.2,M,,,,,,72.5,47.8,L,,,,,,117,99.4,M,,,,,,47.6,45.6,L,,,,,,55.4,53.4,M,,,,,,68.4,28.7,M,,,,,,40.5,122.9,M,,,,,,79.9,106.4,L,,,,,,147.1,209.2,S,,,,
17.7,105.9,L,,,,,,20.8,172,M,,,,,,24.8,70,L,,,,,,28.1,122.3,L,,,,,,30.7,164.1,S,,,,,,34.6,24.8,L,,,,,,37.3,70,L,,,,,,65.4,221,M,,,,,,138.6,202.7,L,,,,,,16.3,160.9,M,,,,,,18.2,59.3,M,,,,,,20.8,93.8,L,,,,,,21.3,64.7,M,,,,,,50.4,101.2,L,,,,,,121.2,81.6,M,,,,,,61.2,25.4,M,,,,,,73.6,60.6,M,,,,,,88.6,54.1,M,,,,,,39.9,160.2,M,,,,,,72.5,204.1,L,,,,,,117.7,202,M,,,,,,47.6,50.8,M,,,,,,55.4,63.8,L,,,,,,68.4,62.5,L,,,,,,41.2,58.8,M,,,,,,79.9,142,S,,,,,,148.4,218.4,L,,,,
